original_word	synonyms	score	time_elapsed
picard	['patois', 'dialecte', 'régionalisme', 'parler régional', 'langage local']	0.0945952327033548	0.52091383934021
brique	['bloc', 'pavé', 'parpaing', 'agglo', 'moellon']	0.0941603120932245	0.5694949626922607
hospitalier	['accueillant', 'chaleureux', 'généreux', 'hospitalité', 'ouvert', 'convivial']	0.0924599001366877	0.528419017791748
volontaire	['altruiste', 'bénévole', 'engagé', 'désintéressé', 'dévoué', 'spontané', 'délibéré', 'consentant', 'affranchi', 'libre.']	0.0909542614964159	0.6582908630371094
pathologique	['anormal', 'morbide', 'maladif', 'anormal', 'malsain', 'déviant']	0.0906188844260014	0.5082652568817139
lamentable	['désolant', 'déplorable', 'triste', 'pitoyable', 'affligeant']	0.086963345563806	0.586043119430542
insaisissable	['fugitif', 'évasif', 'impalpable', 'insaisissable', 'insaisonnement']	0.0856898237668465	0.5309429168701172
courtois	['aimable', 'poli', 'gentil', 'serviable', 'obligeant', 'affable', 'sympathique', 'gracieux', 'prévenant.']	0.0851553758015647	0.5703780651092529
improbable	['impossible', 'invraisemblable', 'inimaginable', 'incroyable', 'peu probable']	0.0846275532242823	0.5097846984863281
subit	['soudain', 'brusque', 'imprévu', 'inattendu', 'rapide']	0.0831388411919201	0.4385089874267578
unanime	['unanime', 'accordé', 'unanime', 'unisson', 'un', 'commun', 'unifié']	0.0819194715211053	0.5335061550140381
abominable	['détestable', 'déplorable', 'horrible', 'odieux', 'repoussant', 'ignoble.']	0.0807884334527665	0.5110101699829102
rigide	['dur', 'inflexible', 'raide', 'rigoureux', 'sévère']	0.0800776847713639	0.5010712146759033
assistant	['aide', 'serviteur', 'soutien', 'compagnon', 'adjoint', 'associé', 'acolyte', 'auxiliaire', 'partenaire', 'apprenti.']	0.0793793328692881	0.7116320133209229
gothique	['médiéval', 'sombre', 'noir', 'macabre', 'sinistre', 'ténébreux', 'funèbre', 'torturé.']	0.0751554784597296	0.5124962329864502
tiers	['fraction', 'part', 'section', 'segment', 'portion', 'partie']	0.0734045443737503	0.40085697174072266
clos	['enclos', 'enclave', 'enceinte', 'fermé', 'limité', 'restreint', 'isolé', 'entouré', 'clôturé', 'confidentiel.']	0.073378243927898	0.7225069999694824
chanteur	['vocaliste', 'interprète', 'artiste', 'crooner', 'chanteuse']	0.0730120067033024	0.5046639442443848
neutre	['impartial', 'équitable', 'objectif', 'impartial', 'indifférent', 'détaché', 'désintéressé', 'neutre']	0.0720487876175068	0.6592261791229248
hostile	['antagoniste', 'agressif', 'belliqueux', 'inamical', 'hostile']	0.0714206377690543	0.4274129867553711
illusoire	['factice', 'fantaisiste', 'fictif', 'fugace', 'imaginaire', 'irréel', 'utopique']	0.0709874103302472	0.5371708869934082
impitoyable	['cruel', 'sans pitié', 'sans merci', 'sévère', 'inflexible', 'implacable', 'endurci', 'rigoureux', 'insensible', 'sans cœur']	0.0698971600009431	0.6150579452514648
amiral	['amiral', 'commandant de la flotte', 'vice-amiral', 'haut-amiral']	0.069659414558763	0.4867842197418213
optimum	['meilleur', 'idéal', 'parfait', 'ultime', 'suprême', 'optimal']	0.0695411473014476	0.4360620975494385
formidable	['impressionnant', 'redoutable', 'extraordinaire', 'exceptionnel', 'incroyable', 'fantastique']	0.0666011963586222	1.6572959423065186
classique	['traditionnel', 'standard', 'habituel', 'typique', 'usuel', 'conventionnel', 'commun']	0.0658634307387839	0.5605740547180176
protecteur	['gardien', 'tuteur', 'défenseur', 'garant', 'sauveur', 'prévenant', 'patron', 'ange gardien', 'guide.']	0.0627254758967115	0.6220440864562988
timide	['timoré', 'réservé', 'introverti', 'discret', 'craintif', 'peureux']	0.062581720031402	0.5658679008483887
technique	['méthode', 'moyen', 'procédé', 'manière', 'approche', 'astuce', 'pratique', 'savoir-faire', 'habileté', 'truc.']	0.0622533437773471	0.6893103122711182
soufre	['sulfur', 'élément 16', 'jaune', 'minéral', 'brimstone']	0.0621543789993211	0.4472849369049072
inaccessible	['impraticable', 'inabordable', 'irrécupérable', 'impossible', 'inaccessible', 'infranchissable', 'insurmontable', 'inatteignable.']	0.0606810900156335	0.641977071762085
implacable	['inflexible', 'inexorable', 'impitoyable', 'intransigeant', 'irréconciliable']	0.0606810900156335	0.5162069797515869
sable	['gravier', 'gravillon', 'silice', 'granulat', 'poussière']	0.0605216913224386	0.46456074714660645
auguste	['majestueux', 'majestic', 'pompeux', 'grandiose', 'solennel', 'solennelle', 'splendide', 'noble', 'imposant', 'imposante.']	0.0603532452267475	0.6866171360015869
absent	['parti', 'disparu', 'manquant', 'éloigné', 'absent', 'disparu', 'ailleurs']	0.0602349055302245	0.4696488380432129
paysan	['agriculteur', 'fermier', 'laboureur', 'cultivateur']	0.0592474480625159	0.4593849182128906
mondial	['international', 'planétaire', 'universel', 'global', 'terrestre']	0.0588501950582653	0.4860110282897949
imperceptible	['invisible', 'inaperçu', 'indétectable', 'insaisissable', 'inaudible', 'minuscule', 'négligeable', 'furtif', 'fugace', 'impalpable', 'insensible', 'fantôme', 'secret.']	0.0558795849393624	0.7243149280548096
bourbon	['whiskey', 'whisky', 'scotch', 'spiritueux']	0.0549795110879901	0.4916212558746338
fondu	['détrempé', 'liquide', 'dissous', 'fondu', 'liquéfié', 'fusionné', 'coulé']	0.0514569544730561	0.5674781799316406
nerval	['nerveux', 'excitant', 'tendu', 'agité', 'stressé']	0.0508185307202886	0.5511400699615479
plan	['programme', 'projet', 'dessein', 'dessein', 'dessein', 'dessein', 'dessein']	0.0498627253765325	1.7272050380706787
conservatoire	['école', 'académie', 'institution', 'établissement']	0.0490535757611409	0.4289379119873047
