original_word	synonyms	score	time_elapsed
binage	['sarclage', 'houage', 'désherbage']	4601.143650435415	0.468646764755249
plantoir	['poinçon', 'piqueur', 'serfouette', 'dresse-mottes']	1679.349166182659	0.5489668846130371
tubercule	['nodule', 'tumeur', 'excroissance', 'bosse', 'protubérance', 'gonflement.']	898.9584111658137	0.5675609111785889
foliole	['feuille', 'feuillet', 'page', 'pagelette']	832.8479604645707	0.4298367500305176
scarole	['laitue', 'chicorée', 'endive', 'frisée']	798.7148473307768	0.4642367362976074
plant	['herb', 'flora', 'vegetation', 'shrubbery', 'greenery', 'foliage', 'bush', 'flower', 'tree', 'crop']	774.5778601861655	0.6201128959655762
compost	['fumier', 'humus', 'terreau', 'engrais organique', 'débris organiques']	634.8759042885662	0.5301768779754639
hersage	['labourage', 'labour', 'binage', 'bêchage', 'sarclage']	600.7427911547724	0.6000559329986572
ado	['ado', 'adolescent', 'jeune', 'jeune adulte']	586.23621807291	0.5868279933929443
cantaloup	['melon', 'melon cantaloup', 'cantaloup', 'melon à chair orange']	573.4363006477372	0.529994010925293
sarclage	['désherbage', 'binage', 'houage', 'sarcloir']	545.0795605058162	0.537423849105835
verrine	['amuse-bouche', 'mini-bouchée', 'mignardise', 'verrine apéritive']	464.2103386195968	0.5717737674713135
mestier	['emploi', 'travail', 'occupation', 'profession', 'activité', 'poste', 'mission', 'rôle.']	450.5570933660792	0.49384403228759766
ciboule	['oignon vert', 'échalote', 'cive', 'civette', 'oignon nouveau']	439.7782155343549	0.4692971706390381
ramille	['rameau', 'brindille', 'twig', 'branchette']	395.94411235200903	0.473081111907959
pourpier	['verdolaga', 'portulaca', 'pourpier à grandes fleurs', 'pourpier à petites fleurs']	370.49942801590817	0.5440618991851807
espalier	['treillage', 'palissade', 'clôture']	344.9577746084044	0.3990058898925781
igname	['patate douce', 'dioscorea', 'carvi', 'nyam', 'nyam-nyam']	337.130132798395	0.5088300704956055
ombelle	['inflorescence', 'cyme', 'grappe']	335.8698332365318	0.4206383228302002
laitue	['chicorée', 'romaine', 'batavia', 'feuille de chêne', 'iceberg']	319.9979356293177	0.5105991363525391
repiquage	['transplantation', 'replantation', 'rempotage', 'repiquage.']	317.66550623184173	0.6527938842773438
rave	"['hurler', 'célébrer', 'éclater', 'exploser', 'festoyer', ""s'ébattre"", 'danser', 'se déchaîner']"	299.51806774904134	0.6319382190704346
poireau	['oignon', 'légume', 'allium ampeloprasum']	293.54477295062736	0.4650440216064453
endive	['chicon', 'chicorée', 'salade barbe de capucin.']	286.7181503238686	0.44511985778808594
inflorescence	['fleuraison', 'épanouissement', 'floraison', 'éclosion']	286.7181503238686	0.4529709815979004
balsamine	['impatiens', 'balsamine des jardins', 'impatientes', 'violette de jardin']	286.7181503238686	0.5121619701385498
party	['célébration', 'rassemblement', 'festivité', 'réception', 'soirée', 'événement']	277.3315442120753	0.6153669357299805
lilium	['lys', 'lis', 'lis des fleurs']	273.0649050703511	0.4282670021057129
repique	['sonner', 'carillonner', 'tintinnabuler', 'clocher']	263.31258703212427	0.43122100830078125
bourgeon	['germe', 'pousse', 'ébauche', 'bouton', 'rameau.']	241.4642487174516	0.5115020275115967
navet	['patate', 'légume', 'tubercule', 'racine']	234.7130925604703	0.41799092292785645
passiflore	['grenadille', 'fleur de la passion', 'passiflora']	232.1051693097984	0.48676085472106934
pistachier	['arbre', 'pistachier vrai', 'pistachier cultivé']	232.1051693097984	0.43184399604797363
courge	['citrouille', 'potiron', 'potimarron', 'pâtisson', 'butternut', 'calabaza.']	212.4786292578669	0.5115439891815186
purpurine	['pourpre', 'violet', 'lilas', 'pourpré']	191.14543354924575	0.6798560619354248
tanaisie	['absinthe', 'herbe de sainte marguerite', 'herbe aux vers', 'chrysanthème puant', 'barbotine']	191.14543354924575	0.5766599178314209
corymbe	['inflorescence', 'grappe', 'cyme']	184.31881092248696	0.413348913192749
raifort	['moutarde', 'raifort des Allemands', 'raifort des bois', 'raifort sauvage']	176.44193866084225	0.5636880397796631
puceron	['puceron', 'aphide', 'louse']	165.1189347847279	0.42076587677001953
arum	"['calla', ""lis d'Arum"", 'lys de Richard', 'patience', 'spathiphyllum']"	163.83894304221064	0.5384981632232666
murier	['mûrier', 'mûre', 'mur', 'muraille', 'cloison', 'paroi']	163.83894304221064	0.4741330146789551
semis	['plantation', 'ensemencement', 'ensemencure', 'ensemis', 'semence', 'semaison']	151.58432291222414	0.7158632278442383
parage	['ajustage', 'appariement', 'égalisation', 'comparaison', 'concordance']	150.1856977886931	0.5598888397216797
lardage	['graisse', 'saindoux', 'lard', 'cochonaille']	150.1856977886931	0.5067858695983887
panachure	['moucheture', 'marbrure', 'tacheture', 'zébrure']	136.53245253517554	0.4807591438293457
souchet	"['souchet', 'vétiver', 'chufa', 'amande de terre', 'gland', ""poireau d'eau""]"	136.53245253517554	0.519791841506958
flageolet	['haricot vert', 'légume', 'fève', 'pois', 'légumineuse']	122.87920728165798	0.4623861312866211
vanillier	['orchidée', 'plante', 'arbuste']	122.87920728165798	0.39951610565185547
