original_word	synonyms	score	time_elapsed
conditionnement	['emballage', 'packaging', 'préparation', 'mise en boîte', 'mise en conditionnement']	0.1011351500260559	0.4914078712463379
jaloux	['envieux', 'possessif', 'suspicieux', 'méfiant', 'vigilant']	0.1009689459997189	1.5776290893554688
foulard	['écharpe', 'châle', 'bandana', 'cache-col', 'col', 'étole.']	0.1008860486713119	0.561636209487915
simplification	['abstraction', 'réduction', 'clarification', 'facilitation', 'allègement']	0.1003915092170408	0.44882798194885254
impression	['empreinte', 'impact', 'sensation', 'perception', 'effet', 'ressenti', 'marque']	0.0981819771989713	0.4407470226287842
sentiment	['émotion', 'sensation', 'ressenti', 'impression', 'affectivité', 'perception', 'pensée', 'opinion.']	0.0979674773316179	0.5246200561523438
notation	['évaluation', 'annotation', 'signe', 'marque', 'cotation', 'mention', 'appréciation']	0.0977559326027509	0.5318057537078857
taux	['pourcentage', 'coefficient', 'proportion', 'ratio', 'pourcent', 'index']	0.0974809808234702	0.465587854385376
fonctionnaire	['employé', 'agent', 'bureaucrate', 'serviteur', 'officiel']	0.0974072194067839	0.6216838359832764
habit	['costume', 'tenue', 'accoutrement', 'vêtement', 'uniforme', 'équipement']	0.0970609852145797	0.6109340190887451
prodigue	['dépensier', 'dissipateur', 'gaspilleur', 'extravagant', 'libéral', 'munificent', 'magnifique', 'magnanime.']	0.0966031503786619	0.72617506980896
capitaine	['commandant', 'chef', 'officier', 'skipper', 'patron', 'pilote']	0.0958309278858709	0.4927091598510742
accueil	['bienvenue', 'réception', 'hospitalité', 'prise en charge', 'entrée']	0.09575624958633	0.48954081535339355
perspective	['vue', 'point de vue', 'optique', 'angle', 'vision', 'approche']	0.0955886482159922	0.6262907981872559
ethnographie	['anthropologie', 'étude des cultures', 'sociologie comparative', 'observation des peuples']	0.0955886482159922	0.47855687141418457
messager	['courrier', 'courrier électronique', 'envoyé', 'envoyeur', 'porteur', 'dépositaire', 'intermédiaire', 'transmetteur', 'commissionnaire', 'agent.']	0.0952551994431457	0.8659281730651855
insomnie	['veille', 'nuit blanche', 'sommeil agité', 'insomnolence']	0.093944348074662	0.7392840385437012
indulgence	['tolérance', 'tolérance', 'clémence', 'clémence', 'complaisance', 'complaisance', 'permissivité', 'permissivité', 'conciliation', 'conciliation', 'pardon', 'pardon.']	0.0938367371375776	0.698073148727417
aigle	['rapace', 'oiseau', 'prédateur', 'aiglon', 'faucon']	0.0931962133345908	0.5005602836608887
ravier	['plat', 'coupe', 'récipient', 'assiette']	0.0924599001366877	0.7728030681610107
soi	['moi', 'même', 'personne', 'individu', 'ego']	0.0922436665027604	0.4825170040130615
invitation	['convocation', 'réception', 'convite', 'sollicitation', 'demande', 'appel.']	0.0921478869753715	0.5200061798095703
expiration	['fin', 'terme', 'échéance', 'clôture', 'cessation', 'caducité', 'échéance']	0.0918379725572929	0.5051639080047607
exploit	['réalisation', 'réussite', 'performance', 'exploitation', 'accomplissement', 'trouvaille', 'action', 'faire', 'valoir.']	0.0918379725572929	0.8558828830718994
exploration	['recherche', 'reconnaissance', 'étude', 'découverte', 'investigation', 'sondage', 'prospection', 'inspection', 'examen.']	0.0915301357777713	0.6317753791809082
boyau	['intestin', 'gros intestin', 'entrailles', 'tripe', 'viscère', 'boyauderie.']	0.0912243558141484	0.5358080863952637
respiration	['halètement', 'souffle', 'inspiration', 'exhalation', 'puff', 'soupir', 'soufflement', 'respir', 'reprise', 'pulsion.']	0.0911837394491377	0.654926061630249
chaos	['désordre', 'tumulte', 'confusion', 'anarchie', 'désorganisation', 'pagaille']	0.090819813216303	0.5541162490844727
froissement	['pli', 'plissement', 'frémissement', 'bruissement', 'froissure', 'chiffonnage', 'crispation', 'craquement']	0.0906188844260014	0.5629620552062988
ralliement	['attroupement', 'réunion', 'rassemblement', 'congrégation', 'groupe']	0.0906188844260014	0.5486531257629395
sottise	['bêtise', 'idiotie', 'ânerie', 'ineptie', 'imbécillité', 'stupidité', 'fadaise', 'foutaise', 'bourde.']	0.0898239819310365	0.659146785736084
intersection	['croisement', 'crossing', 'confluence', 'intersect', 'connexion', 'meeting']	0.0898239819310365	0.5190458297729492
pistolet	['revolver', 'arme à feu', 'fusil', 'calibre', 'pistolet automatique', 'révolver', 'arme', 'flingue']	0.0893342110371922	0.6350910663604736
centralisation	['concentration', 'regroupement', 'centralisme', 'unification', 'consolidation']	0.0886574367111529	0.4503791332244873
insurrection	['mutinerie', 'rébellion', 'révolte', 'soulèvement', 'émeute', 'barricade', 'insubordination', 'conflit', 'échauffourée']	0.0880854532485003	0.6631069183349609
renfort	['soutien', 'renfort', 'renforts', 'support', 'appui', 'renfort supplémentaire', 'assistance']	0.0880854532485003	0.6447610855102539
inscription	['graffiti', 'mention', 'écriture', 'annotation', 'légende', 'texte', 'message']	0.0877551917740817	0.5164852142333984
carnet	['registre', 'calepin', 'cahier', 'journal']	0.0876456542665178	0.46561527252197266
mariage	['union', 'noces', 'alliance', 'épousailles', 'hyménée', 'mariage civil', 'mariage religieux']	0.087401957975961	0.6077117919921875
hurlement	['cri', 'glapissement', 'clameur', 'rugissement', 'jappement']	0.086231022653795	0.4756128787994385
cahier	['carnet', 'bloc-notes', 'registre', 'journal']	0.0861101662800686	0.41773009300231934
souplesse	['flexibilité', 'agilité', 'aisance', 'souplesse', 'plasticité']	0.0856898237668465	0.5386168956756592
gouvernement	['autorité', 'régime', 'pouvoir', 'administration', 'dirigeant', 'État', 'administration', 'gestion.']	0.0853191099002058	0.5402140617370605
autel	"['sanctuaire', 'piédestal', 'podium', 'estrade', 'autel', ""table d'autel""]"	0.0851553758015647	0.4850449562072754
souffrance	['douleur', 'détresse', 'mal', 'peine', 'angoisse', 'agonie', 'affliction', 'calvaire', 'tourment', 'amertume.']	0.0849082416263529	0.5912010669708252
florence	['ville', 'cité', 'métropole', 'capitale', 'bourg']	0.0846275532242823	0.49770498275756836
poignard	['couteau', 'dague', 'stylet', 'poignardin', 'lame.']	0.0846275532242823	0.4851207733154297
sergent	['adjudant', 'maréchal des logis', 'sous-officier', 'caporal']	0.0840487053910109	0.4768402576446533
ange	['divinité', 'céleste', 'esprit', 'être céleste', 'créature céleste', 'être surnaturel', 'esprit céleste.']	0.0838479749448365	0.6309430599212646
langage	['parole', 'discours', 'idiome', 'dialecte', 'jargon', 'expression']	0.0837394079880455	0.47468113899230957
particule	['atome', 'molécule', 'corpuscule', 'élément', 'grain', 'fragment', 'portion', 'élémentaire', 'partie', 'parcelle.']	0.0835060871774773	0.6412341594696045
rivage	['bord', 'plage', 'littoral', 'côte', 'rive']	0.0835060871774773	0.5998678207397461
collaboration	['coopération', 'partenariat', 'association', 'entente', 'alliance']	0.0834890659611754	0.5162971019744873
