original_word	synonyms	score	time_elapsed
cow	['bullock', 'ox', 'cattle', 'beef', 'cows', 'oxen', 'bulls', 'cattle', 'steer', 'oxen', 'beef', 'cattle', 'steers', 'oxen', 'cattle', 'bulls', 'oxen', 'beef', 'cattle', 'beef']	1.7856999999999998	6.606675148010254
task	['Assignments', 'duties', 'jobs', 'chores', 'projects', 'responsibilities', 'obligations', 'engagements', 'commitments', 'undertakings', 'missions', 'endeavors', 'enterprises', 'ventures', 'escapades', 'exploits', 'feats', 'accomplishments', 'achievements', 'conquests', 'triumphs', 'accomplishments']	1.7856999999999998	4.552405118942261
short	['brief', 'concise', 'curt', 'diminutive', 'elfin', 'little', 'miniature', 'mini', 'petite', 'small', 'slight', 'tiny', 'truncated', 'truncated', 'truncated', 'wee', 'wee', 'wee', 'wee', 'wee', 'wee.  Note that this list']	1.648825	4.5227251052856445
live	['exist', 'dwell', 'reside', 'inhabit', 'occupy', 'abode', 'lodge', 'stay', 'sojourn', 'bivouac', 'camp', 'reside', 'lodge', 'stay', 'dwell', 'inhabit', 'occupy', 'exist', 'reside', 'abode', 'bivou']	1.5237999999999998	4.6467461585998535
fast	['swift', 'rapid', 'quick', 'speedy', 'brisk', 'prompt', 'hasty', 'expeditious', 'swift', 'rapid', 'quick', 'speedy', 'brisk', 'prompt', 'hasty', 'expeditious', 'fast', 'fast', 'fast', 'rapid', 'swift', 'hasty']	1.7063333333333333	4.738126754760742
red	['red', 'crimson', 'scarlet', 'ruby', 'burgundy', 'garnet', 'cerise', 'maroon', 'vermilion', 'carmine', 'coral', 'cherry', 'ruby', 'crimson', 'fuchsia', 'magenta', 'vermilion', 'ruby', 'cardinal', 'rouge']	1.32145	4.490983963012695
silver	['metallic', 'grey', 'gray', 'argent', 'metallic', 'grayish', 'greyish', 'aluminium', 'aluminum', 'argent', 'white', 'grey', 'gray', 'metallic', 'gray', 'metallic', 'greyish', 'aluminium', 'aluminum', 'metallic', 'greyish', 'silverish', 'grey']	1.7143	4.635359048843384
cake	['Pudding', 'pastry', 'tart', 'cookie', 'loaf', 'pie', 'bread', 'biscuit', 'muffin', 'scone', 'bun', 'fritter', 'turnover', 'Danish', 'croissant', 'brioche', 'coffee cake', 'pound cake', 'pounder']	1.7619	4.481819152832031
safe	['secure', 'protected', 'guarded', 'sound', 'stable', 'relaxed', 'peaceful', 'tranquil', 'calm', 'securely', 'prosperous', 'peaceable', 'unharmed', 'whole', 'uninjured', 'unscathed', 'protected', 'safe']	1.54765	4.643071889877319
hot	['hot', 'scorching', 'sweltering', 'boiling', 'swelter', 'sizzling', 'blistering', 'torrid', 'sultry', 'balmy', 'steamy', 'fiery', 'burning', 'incandescent', 'blister', 'scorch', 'blistering', 'tor']	1.57145	4.591272830963135
daylight	['daylight', 'light', 'daybreak', 'daytime', 'dawn', 'sunlight', 'clearness', 'illumination', 'brightness', 'radiance', 'lucidity', 'clearness', 'illumination', 'transparency', 'openness', 'visibility', 'sunup', 'auroral', 'morning light']	1.6667	4.540374994277954
self	"['own', 'individual', 'personal', 'private', 'own', 'mine', 'individual', 'myself', 'oneself', 'selfsame', ""one's"", 'own', 'personal', 'private', 'oneself', 'oneself', 'self', 'self', 'self', 'self', 'self', ""one's"", 'selfsame']"	1.2857	4.59711480140686
agree	['accede', 'accept', 'acknowledge', 'acquiesce', 'assent', 'attest', 'consent', 'concur', 'endorse', 'go along', 'go with', 'ratify', 'sanction', 'subscribe', 'vouch', 'yield', 'acquiesce', 'assent', 'confirm']	1.77975	4.630916118621826
shoot	['blow', 'blast', 'boom', 'burst', 'discharge', 'fire', 'flash', 'pop', 'release', 'send', 'shoot', 'squirt', 'spurt', 'squirt', 'spritz', 'squirt', 'spray', 'squirt', 'squirt', 'squirt', 'squirt', 'squirt', 'squirt', 'squirt']	1.689275	4.606157064437866
break	['crumble', 'shatter', 'split', 'fracture', 'disintegrate', 'crack', 'snap', 'shatter', 'fragment', 'separate', 'comeapart', 'fallapart', 'disjoin', 'breakoff', 'breakaway', 'shatter', 'shivver', 'sh']	1.70474	4.598627090454102
path	['alley', 'avenue', 'boulevard', 'course', 'driveway', 'expressway', 'highway', 'lane', 'mainroad', 'passage', 'road', 'route', 'street', 'thoroughfare', 'trail', 'turnpike', 'way', 'walkway', 'walk', 'path', 'route', 'road']	1.7856999999999998	4.598098993301392
last	['ultimatelast', 'terminal', 'final', 'ending', 'terminal', 'latest', 'previous', 'previous', 'previous', 'preceding', 'preceding', 'preceding', 'terminal', 'previous', 'terminal', 'terminal', 'terminal', 'terminal', 'terminal', 'final', 'latest', 'ending']	1.6666666666666667	4.721257209777832
potato	['spud', 'tater', 'tuber', 'root', 'yam', 'knuckle', 'new potato', 'old potato', 'potatoe', 'batata', 'aloo', 'aipow', 'yautia', 'kipfler', 'julienned potato']	1.7142499999999998	4.963177919387817
sum	['add', 'aggregate', 'calculate', 'compute', 'count', 'determine', 'enumerate', 'estimate', 'figure', 'gauge', 'measure', 'reckon', 'total', 'tally', 'totalize', 'assess', 'calculate', 'estimate', 'gauge', 'reckon', 'total', 'tally', 'aggregate', 'add up']	1.66665	4.604529142379761
care	['attentin', 'concern', 'solicitude', 'worry', 'mindfulness', 'solace', 'solacement', 'tenderness', 'regard', 'consideration', 'solicitude', 'thought', 'anxiety', 'caution', 'heed', 'watchfulness', 'regard', 'tenderness', 'attentiveness', 'thought', 'solic']	1.4404500000000002	4.526242017745972
lottery	"['raffle sweepstakes contest drawing giveaway prize competition jackpot chance opportunity gamble risk fortune fate luck\nNote: The list of synonyms may not be exhaustive', ""but it covers a wide range of options. If you'd like to expand the list"", 'let me']"	1.6667	4.634492874145508
