original_word	synonyms	score	time_elapsed
rameux	['ébouriffé', 'crépu', 'crispé', 'frisé', 'ébouriffé', 'frisé', 'crépu', 'crispé', 'ébourlifié', 'ébouriffé', 'ébourlifié', 'é']	1119.5661107884391	5.1251220703125
bisannuel	['bisannuel', 'périodique', 'cyclique', 'alternatif', 'récurrent', 'annuel', 'hebdomadaire', 'mensuel', 'trimestriel', 'annuel', 'saisonnier', 'périodique', 'récurrent\nRéduisez la']	750.9284889434655	5.033907890319824
bulbeux	['bulbeux', 'tordu', 'tortueux', 'contorsionné', 'tordu', 'convexe', 'bosselé', 'ondulé', 'en forme de sabre', 'en forme de sabre', 'arrondi']	682.6622626758776	5.329902172088623
paysager	['artiste de paysage', 'paysagiste', 'artiste paysagiste', 'peintre paysage', 'paysagiste paysagiste', 'paysagiste artiste', 'peintre paysage paysagiste', 'artiste de paysage pays']	450.5570933660792	5.395445108413696
officinal	['acabit', 'acataleptic', 'acatalectic', 'acataleptique', 'acataleptique', 'acataleptique', 'acataleptique', 'acataleptique', 'acataleptique', 'acata']	436.9038481125617	5.282053232192993
axillaire	['axillaire', 'latéral', 'sous', 'sous-axillaire', 'sous-marin', 'sous-marin', 'sous-marin', 'sous-marin', 'sous-marin', 'sous-marin', 'sous-marin', 'sous-marin', 'sous']	395.94411235200903	5.100876092910767
tourbeux	['argile', 'argile', 'argile', 'argile', 'boue', 'boue', 'boue', 'boue', 'boue', 'boue', 'boue', 'boue', 'boue', 'boue', 'boue', 'boue', 'boue']	204.7986788027633	5.455620288848877
promotionnel	['advertising', 'publicity', 'promotion', 'marketing', 'commercial', 'trade', 'advertising', 'promotion', 'publicité', 'publicité', 'promotion', 'marketing', 'commercial', 'publicité', 'marketing', 'publicité', 'publicité', 'publicité', 'publicité', 'publicité', 'promotion']	150.1856977886931	5.173541784286499
comestible	['nourriture', 'aliments', 'repas', 'plat', 'viande', 'poisson', 'légumes', 'fruits', 'épices', 'sauces', 'condiments', 'fromage', 'lait', 'huile', 'viande', 'poissons', 'plats\n\nNote']	120.14855823095446	5.181865930557251
intertropical	['tropical', 'équatorial', 'torride', 'chaud', 'chaud', 'chaud', 'chaud', 'chaud', 'chaud', 'chaud', 'chaud', 'chaud', 'chaud', 'chaud', 'chaud', 'chaud', 'chaud', 'chaud', 'chaud', 'chaud', 'chaud', 'chaud', 'chaud']	109.22596202814044	5.2362120151519775
