original_word	synonyms	score	time_elapsed
etc.	['par exemple : oubli', 'oubli', 'oubli', 'oubli', 'oubli', 'oubli', 'oubli', 'oubli', 'oubli', 'oubli', 'oubli', 'oubli']	623.816775633217	5.124266862869263
vivace	"['vivace', 'dynamique', 'énergique', ""plein d'ardeur"", ""plein d'entrain"", ""plein d'enthousiasme"", 'éthéré', 'léger', 'aérien', 'léger', 'aérien', 'v']"	50.7845372436582	5.151808977127075
non-seulement	['uniquement', 'exclusivement', 'seulement', 'exclusivement', 'uniquement', 'exclusivement', 'exclusivement', 'exclusivement', 'exclusivement', 'exclusivement', 'exclusivement', 'exclusivement', 'exclusivement']	49.15168291266319	5.27497124671936
botaniquement	['botaniquement', 'floralement', 'végétal', 'végétatif', 'végétal', 'végétal', 'végétal', 'végétal', 'végétal', 'végétal', 'vég']	47.78635838731144	5.21893310546875
ordinairement	['ordinaire', 'commun', 'ordinaire', 'normal', 'moyen', 'ordinaire', 'ordinaire', 'commun', 'ordinaire', 'ordinaire', 'ordinaire', 'ordinaire', 'ordinaire', 'ordinaire', 'ordinaire', 'ordinaire', 'ordinaire', 'ordinaire']	43.514879957335715	5.176248073577881
fraichement	['Fraichement', 'frais', 'récent', 'dernier', 'nouveau', 'actuel', 'présent', 'contemporain', 'récent', 'moderne', 'courant', 'contemporain', 'actuel', 'récent', 'moderne', 'récent', 'nouveau', 'présent', 'frais']	40.95973576055266	5.13298487663269
promptement	['rapidement', 'rapidement', 'aussitôt', 'immédiatement', 'bientôt', 'prompt', 'vite', 'sans tarder', 'sans attendre', 'à bref délai', 'en peu de temps', 'sans délai', 'sans retard', 'bient']	39.28790981114235	5.142682790756226
copieusement	['copieusement', 'abondamment', 'amplement', 'abondante', 'copieuse', 'abondante', 'abondamment', 'abondance', 'abondant', 'abondée', 'abonde']	24.77811175638371	5.067638158798218
vulgairement	['vulgairement', 'grossièrement', 'crûment', 'coarsely', 'grossièrement', 'brutalement', 'rudement', 'rudement', 'grossièrement', 'grob', 'grob', 'crûment', 'brutalement', 'grossièrement', 'impert']	19.676735806540005	5.306763172149658
abondamment	['abondamment', 'généreusement', 'profusément', 'amplement', 'richement', 'largement', 'opulamment', 'généreusement', 'pléthoriquement', 'copieusement', 'généreusement', 'luxueusement', 'amplement']	18.443857623172836	5.16299295425415
avantageusement	['favorablement', 'avantageusement', 'favorable', 'rentable', 'avantageux', 'bénéfique', 'rentable', 'avantageux', 'profitable', 'rentable', 'avantageux', 'utile', 'rentable', 'avantageux', 'précieux']	14.379481703172743	5.347515106201172
journellement	"[""Voici la liste des synonymes pour le mot 'journellement' : \nquotidiennement"", 'régulièrement', 'fréquemment', 'souvent', 'habituellement', 'normalement', 'généralement', 'communément.']"	12.136218003126713	5.010814905166626
obligeamment	"['affabilité', 'gentillesse', 'courtoisie', 'amabilité', 'politesse', 'bienveillance', 'bonté', 'amabilité', ""gentillesse. \n\nNote: Vous pouvez ajuster la liste pour qu'elle soit plus courte si cela est""]"	10.778877831724383	4.981979131698608
improprement	['improprement', 'inapproprié', 'inadapté', 'inexact', 'mal placé', 'mal placé', 'maladroit', 'maladroit', 'maladroit', 'maladroit', 'maladroit', 'maladroit', 'malad']	10.532503481284971	4.967386960983276
excessivement	['excessivement', 'excessif', 'exagéré', 'excessif', 'excessif', 'excessif', 'excessif', 'excessif', 'excessif', 'excessif']	9.807260675061906	4.974143028259277
horizontalement	['horizontalement', 'parallèlement', 'latéralement', 'en ligne', 'perpendiculairement', 'à plat', 'de bas en haut', 'en bas vers le haut', 'de droite à gauche', 'de gauche à droite', 'perpend']	9.102163502345036	4.983273983001709
moyennement	['moyennement', 'modérément', 'à peu près', 'de manière raisonnable', 'raisonnablement', 'relativement', 'relativement', 'raisonnable', 'modéré', 'de manière modérée', 'relativement', 'pas trop', 'de manière raison']	8.057652936502164	5.017719984054565
graduellement	['graduellement', 'progressivement', 'progressivement', 'de manière lente', 'de manière lente', 'de manière progressive', 'de manière progressive', 'de manière progressive', 'progressivement', 'de manière lente', 'progressivement', 'progressivement', 'progressivement.']	7.629754700495104	4.953448057174683
infailliblement	"['absolu', 'certain', 'complet', 'définitif', 'inébranlable', ""inévitabl\nDonnez une liste simple et propre de synonymes pour le mot 'infailliblement'. N'incluez pas de sa""]"	7.213035228273425	4.98491907119751
transversalement	"['transversalement', 'à angle droit', 'perpendiculairement', ""à l'horizontale"", ""à l'opposé"", 'à travers', 'de travers', 'croisé', 'en travers', 'perpendiculaire', 'latéral']"	7.00627059062085	5.005572080612183
convenablement	['approprié', 'conforme', 'correct', 'acceptable', 'acceptable', 'légitime', 'acceptable', 'acceptable', 'acceptable', 'acceptable', 'acceptable', 'acceptable', 'acceptable', 'acceptable', 'acceptable', 'acceptable', 'acceptable', 'acceptable', 'acceptable', 'acceptable', 'acceptable', 'acceptable', 'acceptable']	6.803323573425129	4.9693450927734375
circulairement	['circulairement', 'cycliquement', 'circulante', 'circulaire', 'circulaire', 'circulaire', 'circulaire', 'circulaire', 'circulaire', 'circulaire', 'circulaire', 'circulaire', 'circulaire', 'circulaire', 'circulaire', 'circulaire']	6.467326699034631	5.1849141120910645
surabondamment	['abondamment', 'richement', 'amplement', 'largement', 'pleinement', 'abondamment', 'généreusement', 'opulamment', 'profondément', 'abondamment', 'pléthoriquement', 'généreusement', 'profusément']	6.399958712586353	6.725250005722046
diligemment	['acceptable', 'attentif', 'dévoué', 'déterminé', 'dévoué', 'assidu', 'assidu', 'méticuleux', 'méticuleux', 'sérieux', 'sérieux', 'travailleur', 'travailleur', 'minutieux']	6.301497809315794	5.074959754943848
identiquement	['identiquement', 'exactement', 'précisément', 'fidèlement', 'conformément', 'conformément', 'uniformément', 'uniformément', 'uniformément', 'uniformément', 'uniformément', 'uniformément', 'uniformément', 'uniformément', 'uniformément', 'uniformément']	6.143960364082899	5.1016929149627686
verticalement	['horizontal', 'incliné', 'oblique', 'ascendante', 'descendant', 'perpendiculaire', 'latéral', 'incliné', 'incliné\n\nRemarque\xa0:\xa0Les synonymes de «\xa0verticalement\xa0» incl']	5.838358772105501	8.523048162460327
habituellement	"['habituellement', 'normalement', 'généralement', ""d'habitude"", 'généralement', 'ordinairement', 'fréquemment', 'régulièrement', ""d'ordinaire"", 'presque toujours', 'souvent', 'généralement.']"	5.783351394762419	10.948311805725098
originairement	['authentique', 'premier', 'premier', 'premier', 'ancien', 'premier', 'premier', 'premier', 'premier', 'premier', 'premier', 'premier', 'premier', 'premier', 'premier', 'premier', 'premier', 'premier', 'premier', 'premier', 'premier', 'premier', 'premier', 'premier']	5.621924516154287	8.851768016815186
ci-dessous	['à', 'en dessous', 'en dessous', 'sous', 'dessous', 'dessous', 'dessous', 'dessous', 'dessous', 'dessous', 'dessous', 'dessous', 'dessous', 'dessous', 'dessous', 'dessous', 'dessous']	4.915168291266319	8.968224048614502
