original_word	synonyms	score	time_elapsed
binage	['échantillon', 'échantillon', 'échantillon', 'échantillon', 'échantillon', 'échantillon', 'échantillon', 'échantillon', 'échantillon', 'échantillon', 'échantillon', 'échantillon', 'échant']	4601.143650435415	8.063323974609375
plantoir	['acier', 'barre', 'manche', 'tige', 'pioche', 'pioche', 'pioche', 'pioche', 'pioche', 'manche', 'manche', 'pioche', 'manche', 'tige', 'tige']	1679.349166182659	7.620762825012207
tubercule	['tubercule', 'bouton', 'nodule', 'bourgeon', 'tumeur', 'excroissance', 'kyste', 'nodule', 'croissance', 'bourgeon', 'pustule', 'nodule', 'tubercule', 'papule']	898.9584111658137	7.808029890060425
foliole	['Acacia', 'Acacie', 'Acacieae', 'Acaciees', 'Acacieum', 'Acacieus', 'Acacieus', 'Acacieus', 'Acacieus', 'Acacieus', 'Acacieus', 'Acacieus', 'Acacieus']	832.8479604645707	7.382471084594727
scarole	['branche', 'chou-fleur', 'chou-fleur', 'chou-fleur', 'chou-fleur', 'chou-fleur', 'chou-fleur', 'chou-fleur', 'chou-fleur', 'chou-fleur', 'chou']	798.7148473307768	4.892732858657837
plant	['affleurement', 'bouturage', 'bouture', 'bouturage', 'bouture', 'bouture', 'bouture', 'bouture', 'bouture', 'bouture', 'bouture', 'bouture', 'bouture', 'bouture', 'bouture', 'bouture']	774.5778601861655	4.9935479164123535
compost	"['vermicompost', 'déchets organiques', 'déchets verts', 'fumier', 'déchets de jardin', 'déchets de compostage', 'déchets de sol', 'déchets de jardin', ""déchets d'""]"	634.8759042885662	5.128175973892212
hersage	['synonymes de hersage : \nhérisson', 'ours', 'sanglier', 'renard', 'blaireau', 'belette', 'martre', 'lynx', 'guivre', 'chouette', 'hibou', 'geai', 'fa']	600.7427911547724	4.953386068344116
ado	['adolescent', 'jeune', 'adulte', 'adulte', 'adulte', 'homme', 'homme', 'homme', 'homme', 'homme', 'homme', 'homme', 'homme', 'homme', 'homme', 'homme', 'homme', 'homme', 'homme', 'homme', 'homme', 'homme', 'homme', 'homme', 'homme']	586.23621807291	5.008702039718628
cantaloup	"['watermelon', 'melon', 'muskmelon', 'rockmelon', 'honeydew', 'casaba', 'crenshaw', 'canary melon', ""sharlyn\nDonnez une liste simple et propre de synonymes pour le mot 'cantaloup'.""]"	573.4363006477372	5.011554956436157
sarclage	['arrosage', 'désherbage', 'taille', 'récolte', 'tonte', 'élagage', 'fauchage', 'débroussaillage', 'épinissage', 'ébourgeonnage', 'fumure', 'fum']	545.0795605058162	5.0878918170928955
verrine	['tasse', 'bol', 'conteneur', 'coupe', 'coupe', 'coupe', 'coupe', 'coupe', 'coupe', 'coupe', 'coupe', 'coupe', 'coupe', 'coupe', 'coupe', 'coupe', 'coupe', 'coupe', 'coupe', 'coupe', 'coupe', 'coupe', 'coupe', 'coupe']	464.2103386195968	5.0237181186676025
mestier	['architecte', 'artisan', 'atelier', 'métier', 'ouvrier', 'professionnel', 'technicien', 'travailleur', 'travailleur', 'vocation', 'métier\n\nCependant', 'je suppose que vous voulez une liste qui ne contient pas de']	450.5570933660792	5.0253870487213135
ciboule	['oignon', 'poireau', 'ciboule', 'poireaux', 'ciboules', 'oignons', 'ail', 'poireaux', 'ail', 'oignon', 'poireau', 'poireaux', 'poireaux', 'oignon']	439.7782155343549	5.1514458656311035
ramille	['ramille', 'ramillure', 'ramillures', 'ramillé', 'ramillée', 'ramillées', 'ramillent', 'ramillente', 'ramillentes', 'ramillent', 'ramillente', 'ramillentes', 'ramill']	395.94411235200903	5.146958112716675
pourpier	['acajou', 'acajou', 'acajou', 'acajou', 'acajou', 'acajou', 'acajou', 'acajou', 'acajou', 'acajou', 'acajou', 'acajou', 'acaj']	370.49942801590817	5.7464439868927
espalier	['arbre', 'arbuste', 'arbrisseau', 'buisson', 'haie', 'plante', 'végétal', 'végétation', 'étagère', 'plantation', 'tuteur', 'treillage', 'support', 'échafaudage']	344.9577746084044	5.2743260860443115
igname	['igname', 'tubereuse', 'haricot', 'patate', 'pomme de terre', 'racine', 'tige', 'tubercule', 'racine tubéreuse', 'mais aussi racine', 'racine tubéreuse', 'pomme', 'pom']	337.130132798395	5.034353733062744
ombelle	"[""Les synonymes pour 'ombelle' sont\xa0: fleur"", 'bouton', 'capitule', 'capitule', 'fleur', 'fleur', 'fleur', 'fleur', 'fleur', 'fleur', 'fleur', 'fleur', 'fleur']"	335.8698332365318	5.226147651672363
laitue	['arugula', 'laite', 'roquette', 'cornezou', 'feuille de laitue', 'roquette', 'cornezou', 'feuilles de laitue', 'roquette', 'arugula', 'roquette', 'laite']	319.9979356293177	5.030343055725098
repiquage	['repiquage', 'replantation', 'transplantation', 'plantation', 'greffe', 'enracinement', 'reforestation', 'reboisement', 'reensemencement', 'reconstitution. \n\nCela devrait être une liste simple et concise.  \n\nNote']	317.66550623184173	4.910672187805176
rave	['affolé', 'fous', 'enragé', 'furieux', 'délirant', 'ivre', 'éméché', 'éméchée', 'envoûté', 'somnambule', 'envoûté', 'ivre', 'fou']	299.51806774904134	5.178118944168091
poireau	['tomate', 'poivron', 'aubergine', 'concombre', 'melon', 'courge', 'carotte', 'oignon', 'chou-fleur', 'chou', 'poireau', 'céleri', 'haricot', 'champignon.']	293.54477295062736	5.153917074203491
endive	['blette', 'chou frisé', 'chou-fleur', 'chou-rave', 'chou-rave', 'chou-rave', 'chou-rave', 'chou-rave', 'chou-rave', 'chou-rave', 'chou']	286.7181503238686	4.974446058273315
inflorescence	['Axile', 'racème', 'capitule', 'corymbe', 'glomérule', 'glomère', 'grappe', 'inflorescence', 'corymbiforme', 'panicle', 'capitule', 'cyme', 'capitule', 'capit']	286.7181503238686	5.0893120765686035
balsamine	['clef de vigne', 'clef de vigne', 'clef de vigne', 'clef de vigne', 'clef de vigne', 'clef de vigne', 'clef de vigne', 'clef de vigne', 'clef']	286.7181503238686	5.001082181930542
party	['bon temps', 'fête', 'rassemblement', 'soiree', 'assemblée', 'fête', 'célébration', 'réunion', 'événement', 'banquet', 'bals', 'fête', 'cérémonie', 'spectacle', 'concours']	277.3315442120753	5.022795915603638
lilium	"['Lilium', 'le nom scientifique du lilas', ""est un genre de plantes à fleurs monocotylédones de la famille des Liliaceae. \n\nVoici la liste de synonymes pour 'lilium': \nL""]"	273.0649050703511	5.167133331298828
repique	['repique', 'repiquer', 'repiquage', 'repiquant', 'repiqueuse', 'repiqueur', 'repiqueurs', 'repiqueuses', 'repiquer', 'repiqueront', 'repiquera', 'repiquerez', 'repiquerais']	263.31258703212427	5.219397783279419
bourgeon	['bouge', 'pousse', 'croît', 'fleurit', 'prospère', 'se développe', 'se renforce', 'se développe', 'se multiplie', 'se déploie', 'se met en place', 'prend racine', 'grandit']	241.4642487174516	5.061390161514282
navet	['beet', 'chou de terre', 'chou noir', 'chou noir de terre', 'chou noir de terre', 'chou noir de terre', 'chou noir de terre', 'chou noir de terre', 'chou noir de terre', 'chou']	234.7130925604703	5.030624151229858
passiflore	['Acajou', 'Acacia', 'Acacie', 'Acacieae', 'Acacieas', 'Acaciees', 'Acacieum', 'Acacieus', 'Acacieux', 'Acacieux', 'Acacieux', 'Acacieux', 'Acacie']	232.1051693097984	5.177072048187256
pistachier	['acheter', 'vendeur', 'vendeur de noix', 'marchand de noix', 'marchand de pistachier', 'marchand de pistachiers', 'marchand de noix de pistache', 'marchand de pistaches.']	232.1051693097984	5.089812994003296
courge	['asperge', 'courge', 'citrouille', 'gourde', 'potiron', 'pastèque', 'melon', 'concombre', 'abricot', 'melon', 'tournure', 'courge', 'pastèque', 'poireau']	212.4786292578669	5.228701829910278
purpurine	['améthyste', 'rubis', 'saphir', 'émeraude', 'grenat', 'topaze', 'tourmaline', 'zircon', 'émeraude', 'grenat', 'saphir', 'rubis', 'émeraude']	191.14543354924575	5.275591135025024
tanaisie	['tanaisie', 'tanaisies', 'tanais', 'tanaisier', 'tanaisiers', 'tanaisiers', 'tanais', 'tanaisier', 'tanaisiers', 'tanais', 'tanais']	191.14543354924575	5.128107070922852
corymbe	['umbel', 'capitule', 'capitule', 'capitule', 'capitule', 'capitule', 'capitule', 'capitule', 'capitule', 'capitule', 'capitule', 'capitule', 'capitule', 'capitule', 'capitule', 'capitule', 'capitule']	184.31881092248696	5.066958665847778
raifort	['carotte', 'chou', 'chou-fleur', 'chou-rave', 'endive', 'raifort', 'rutabaga', 'rutabie', 'selin', 'topinambour', 'turnip', 'wasabi. \nSi vous le souha']	176.44193866084225	5.275667905807495
puceron	['affuté', 'poux', 'puceron', 'pucerons', 'puce', 'pucerons', 'puce', 'pucerons', 'pucerons', 'pucerons', 'pucerons', 'pucerons', 'pucerons', 'p']	165.1189347847279	5.197232723236084
arum	['acalanthus', 'acanthus', 'arum', 'calanthe', 'calanthus', 'calanthus', 'calanthus', 'calanthus', 'calanthus', 'calanthus', 'calanthus', 'calanthus', 'calanth']	163.83894304221064	5.032994985580444
murier	['murier', 'moisir', 'pourrir', 'décomposé', 'détruit', 'putréfié', 'mois', 'pourrir', 'se décomposer', 'se détruire', 'se put']	163.83894304221064	4.958725929260254
semis	['abondant', 'abondant', 'enraciné', 'enraciné', 'planté', 'planté', 'enraciné', 'enraciné', 'enraciné', 'enraciné', 'enraciné\nab']	151.58432291222414	4.973843097686768
parage	['avant', 'à proximité', 'à proximité', 'à proximité', 'à proximité', 'à proximité', 'à proximité', 'à proximité', 'à proximité', 'à proximité', 'à proximité', 'à proximité', 'à proximité']	150.1856977886931	5.178196907043457
lardage	['Synonymes de lardage : graissage', 'enduit', 'frottement', 'lubrification', 'graissage', 'huilage', 'jointure', 'graissage', 'graissage', 'graissage', 'enduit\n\nRé']	150.1856977886931	5.115816116333008
panachure	['acolyte', 'assistant', 'aide', 'collaborateur', 'adjoint', 'compagnon', 'second', 'subordonné', 'aide', 'partenaire', 'associé', 'compagnon', 'adjoint', 'subordonné', 'second', 'assistant', 'aide', 'acolyte']	136.53245253517554	5.119469165802002
