original_word	synonyms	score	time_elapsed
ameublir	['affaiblir', 'dégonfler', 'dégonfle', 'dégonflement', 'dégonflement', 'dégonflement', 'dégonflement', 'dégonflement', 'dégonflement', 'dégonflement']	846.5012057180883	5.728859186172485
confire	['affiner', 'affiner', 'assaisonner', 'assaisonner', 'assaisonner', 'assaisonner', 'assaisonner', 'assaisonner', 'assaisonner', 'assaisonner', 'assaisonner', 'assaisonner', 'assaisonner']	826.021337837812	6.501789331436157
pommer	['éclater', 'éclater', 'éclater', 'éclater', 'éclater', 'éclater', 'éclater', 'éclater', 'éclater', 'éclater', 'éclater', 'éclater', 'écl']	812.3680925842945	5.87828516960144
repiquer	['repiquer', 'frapper', 'percer', 'percé', 'tailler', 'grave', 'estampé', 'gravé', 'taillé', 'percement\nAvec la mise en page spécifiée', 'voici une liste simple de synonymes']	552.1372380522499	6.151655912399292
stratifier	['affiner', 'définir', 'hiérarchiser', 'hiérarchiser', 'organiser', 'organiser', 'structurer', 'structurer', 'hiérarchiser', 'hiérarchiser', 'hiérarchiser', 'hiérarchiser\nLes']	532.4765648871846	6.419114828109741
pailler	['pailler', 'bêcher', 'creuser', 'déblayer', 'décapoter', 'défricher', 'dégager', 'dégager', 'élaguer', 'labourer', 'labourer', 'pelleter', 'pelleter', 'p']	395.94411235200903	6.086154937744141
replanter	"['réaménager', 'remettre en place', 'replanter', 'remettre en terre', 'remettre en place', 'réinstaller', 'rétablir', ""réinstaller\nLes synonymes du mot 'replanter' sont les suivants""]"	342.572335451895	6.536798000335693
ressuyer	"[""synonymes de 'ressuyer' :\nsécher"", 'éponger', 'absorber', 'égoutter', 'essuyer', 'enlever', 'nettoyer', 'sécher', 'essuyer', 'absorber', ""s'""]"	245.75841456331597	5.696100234985352
biner	['acier', 'fer', 'métal', 'minerai', 'métallique', 'métal', 'métallurgie', 'minerai', 'métal', 'métal', 'métal', 'métal', 'métal', 'métal', 'métal', 'métal']	228.51221003255696	6.043001174926758
hiverner	['hiverner', 'hibernation', 'hiberner', 'se mettre en hibernation', 'hiberner', 'hiberner', 'hibernation', 'hiberner', 'hibernation', 'hibernation']	186.1806170934212	6.280306100845337
falloir	['éventuellement', 'éventuellement', 'peut-être', 'peut-être', 'peut-être', 'peut-être', 'peut-être', 'peut-être', 'peut-être', 'peut-être', 'peut-être', 'peut-être', 'peut-être', 'peut-être', 'peut-être', 'peut-être']	177.78716581663753	6.801401853561401
environner	['équipé', 'entouré', 'enveloppé', 'englobé', 'enrobé', 'enroulé', 'entouré', 'enveloppé', 'enveloppé', 'enveloppé', 'enveloppé', 'enveloppé', 'envelopp']	177.4921882957282	5.9455108642578125
destiner	['aimé', 'prévu', 'prévu', 'prévu', 'prévu', 'prévu', 'prévu', 'prévu', 'prévu', 'prévu', 'prévu', 'prévu', 'prévu', 'prévu', 'prévu', 'prévu', 'prévu']	161.2789595571761	6.446966171264648
jaunir	['vert', 'vertir', 'mûrir', 'jaunir', 'brunir', 'colorer', 'mûrir', 'virer', 'virer', 'virer. \n\nRemarque : Si vous souhaitez fournir une description ou des exemples d']	159.15783038386178	6.451446056365967
carder	['carder', 'carder', 'carder', 'carder', 'carder', 'carder', 'carder', 'carder', 'carder', 'carder', 'carder', 'carder', 'carder', 'carder', 'carder', 'carder', 'carder']	138.63295180494748	6.037002086639404
marcotter	['marcotter', 'tacheter', 'déformer', 'dégénérer', 'déformer', 'détruire', 'démolir', 'dévaster', 'endommager', 'détériorer', 'gâcher', 'défigurer', 'dé']	122.87920728165798	6.039918899536133
consister	['affluer', 'couler', 'déborder', 'déborder', 'déborder', 'déborder', 'déborder', 'déborder', 'déborder', 'déborder', 'déborder', 'déborder', 'déborder', 'déborder', 'déborder', 'déborder', 'dé']	119.50340488381023	6.139634132385254
recouvrir	"[""Les synonymes pour le mot 'recouvrir' sont :  couvrir"", 'envelopper', 'recouvrir', 'masquer', 'cacher', 'déguiser', 'couvrir', 'envelopper', 'dissimuler. \nPar conséquent']"	101.76500721039965	6.330979108810425
avoisiner	['proximité', 'adjacence', 'voisinage', 'proche', 'voisin', 'alentour', 'environ', 'à proximité', 'à côté', 'dans les environs', 'à côté de', 'proche de', 'presque', 'en voisin']	90.11141867321584	6.120020389556885
ramifier	"['acculoter', 'élargir', 'agrandir', 'élargir', ""s'élargir"", ""s'agrandir"", ""s'élargir"", ""s'accroître"", ""s'agrandir"", ""s'étendre""]"	87.50489003390797	6.209686994552612
sarcler	['élaguer', 'élaguer', 'tailler', 'élaguer', 'élaguer', 'élaguer', 'élaguer', 'élaguer', 'élaguer', 'élaguer', 'élaguer', 'élaguer', 'élaguer']	86.18611066282955	6.764207124710083
empailler	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']	81.91947152110532	6.30190896987915
exhausser	['accepter', 'agrandir', 'augmenter', 'avancer', 'élargir', 'élever', 'étendre', 'exacerber', 'exagérer', 'exiger', 'grossir', 'haussier', 'haussé', 'hausser', 'intens']	81.91947152110532	6.841373920440674
fleurir	"['fleurir', 'prospérer', 'réussir', 'réussir', 'réussir', 'prospérer', 'se développer', ""s'épanouir"", 'croître', 'se développer', 'prospérer', 'réussir. \n\nListe complète']"	75.95891295893534	6.220284938812256
ouvrer	"[""synonymes pour 'ouvrer' :\nouvrier"", 'artisan', 'ouvrière', 'travailleur', 'employé', 'manœuvre', 'ouvriers', 'ouvrières', 'travailleuse', 'travailleur', 'travailleurs.']"	68.26622626758777	6.131801128387451
ombrager	"[""Les synonymes pour le mot 'ombrager' sont : éclaircir"", 'assombrir', 'assombrir', 'assombrir', 'assombrir', 'assombrir', 'assombrir', 'assom']"	66.16572699781584	6.157822132110596
munir	['équiper', 'fournir', 'armer', 'améliorer', 'équiper', 'doter', 'préparer', 'préparer', 'préparer', 'équiper', 'équiper', 'équiper', 'équiper', 'équiper']	65.35148851683682	6.383441925048828
planter	['un', 'deux', 'trois', 'quatre', 'cinq', 'six', 'sept', 'huit', 'neuf', 'dix', 'onze', 'douze', 'treize', 'quatorze', 'quinze', 'seize', 'dix-sept', 'dix-h']	57.959034961668735	6.33630108833313
enter	"['accepter', 'entrer', 'introduire', 'insérer', 'accéder', 'y aller', 'entrer', 'participer', 'inclure', 'joindre', 'réserver', ""s'engager"", 'se joindre', ""s'intégrer\naccept""]"	54.612981014070215	6.26705002784729
blanchir	['affilier', 'éblouir', 'éclaire', 'éclaircir', 'éclairer', 'éclatant', 'éclaté', 'effacer', 'éteindre', 'illuminer', 'illuminer', 'nettoyer', 'illuminer']	51.94439216906451	6.299024820327759
larder	['éventuel', 'réfrigérateur', 'congélateur', 'frigo', 'réfrigérateur', 'stocker', 'entreposer', 'entreposer', 'magasin', 'entreposer', 'entreposer', 'entreposer', 'entreposer']	49.15168291266319	6.514168977737427
amonceler	['acculer', 'amonceler', 'accumuler', 'accumuler', 'amonceler', 'amonceler', 'amonceler', 'accumuler', 'accumuler', 'accumuler', 'accumuler', 'accumuler', 'accumuler', 'amon']	49.15168291266319	9.347621202468872
endommager	['endommager', 'détruire', 'détruire', 'détruire', 'endommager', 'détruire', 'détruire', 'détruire', 'détruire', 'détruire', 'détruire', 'détruire', 'détr']	48.63968621565628	6.920393228530884
renfoncer	['abaisser', 'baisser', 'décliner', 'dégrader', 'dérober', 'dérober', 'dérober', 'dérober', 'dérober', 'dérober', 'dérober', 'dérober', 'dérober']	47.78635838731144	6.908166885375977
saupoudrer	['saupoudrer', 'éparpiller', 'pulvériser', 'répandre', 'disperser', 'éparpiller', 'répandre', 'effacer', 'répandre', 'éparpiller', 'pulvériser', 'dévers']	43.78454512334939	6.8068811893463135
avoyer	"[""synonymes pour 'avoyer' : voie"", 'route', 'chemin', 'passage', 'sentier', 'itinéraire', 'trajet', 'parcours', 'piste', 'voie', 'cheminée', 'sentier', 'chemin de fer.']"	40.95973576055266	7.499766826629639
recourber	['courbe', 'fléché', 'incurvé', 'biaisé', 'courbé', 'dévié', 'dévié', 'fléché', 'incurvé', 'incliné', 'incurvé', 'dévié', 'dévié', 'courbé']	36.86376218449739	7.280882835388184
fructifier	"['abonder', 'se multiplier', 'croître', ""s'enrichir"", ""s'accroître"", ""s'agrandir"", 'se développer', ""s'épanouir"", 'se renforcer', ""s'élargir. \n\nSynonymes de""]"	34.512369946391594	6.6149280071258545
darder	['acier', 'fer', 'métal', 'minerai', 'minerais', 'minerais', 'minerai', 'métal', 'acier', 'fer', 'métal', 'minerais', 'fer', 'minerais', 'métal', 'minerais', 'fer', 'fer']	34.133113133793884	7.083693027496338
