original_word	synonyms	score	time_elapsed
testament	['attestation', 'confirmation', 'corroboration', 'documentation', 'evidence', 'proof', 'substantiation', 'testimonial', 'testimony', 'validation', 'voucher', 'witness']	4.1429	0.26338887214660645
integration	['absorption', 'blending', 'coalescence', 'coalition', 'commingling', 'commixture', 'concretion', 'homogenization', 'immingling', 'immixture', 'incorporation', 'interfusion', 'intermingling', 'mergence', 'merger', 'merging', 'mingling', 'coupling', 'linking', 'unification', 'union', 'accumulation', 'aggregation', 'conglomeration', 'admixture', 'amalgam', 'amalgamation', 'blend', 'combination', 'composite', 'compound', 'fusion', 'intermixture', 'meld', 'mix', 'mixture', 'synthesis']	3.8333	0.26631784439086914
condemn	['anathematize', 'censure', 'damn', 'decry', 'denounce', 'execrate', 'reprehend', 'reprobate']	4.0	0.26609301567077637
compilation	['album', 'anthology', 'collectanea', 'compendium', 'florilegium', 'miscellany', 'reader']	3.83335	0.2624990940093994
bufe	['No synonyms found']	4.2	0.2875998020172119
chattanooga	['No synonyms found']	4.8	0.28229284286499023
gourmet	['bon vivant', 'epicure', 'epicurean', 'gastronome', 'gastronomist', 'gourmand']	4.0	0.2752950191497803
thesaurus	['dictionary', 'gloss', 'glossary', 'nomenclator', 'vocabulary', 'lexicon', 'wordbook']	4.1429	0.27483272552490234
plantronic	['No synonyms found']	4.6667	0.2811930179595947
hispanic	['No synonyms found']	3.8571	0.28278398513793945
procurement	['accession', 'acquisition', 'obtainment', 'claiming', 'collaring', 'commandeering', 'confiscation', 'ownership', 'proprietorship', 'repossession', 'retention', 'holding', 'retaining', 'control', 'enjoyment', 'hands', 'keeping', 'possession', 'authority', 'command', 'dominion', 'mastery', 'power']	4.4286	0.26875901222229004
lipitor	['No synonyms found']	5.0	0.2832040786743164
ejaculation	['cry', 'exclamation', 'interjection']	3.8333	0.2632560729980469
amnesty	['absolution', 'forgiveness', 'pardon', 'remission', 'remittal']	4.5	0.2622249126434326
diazepam	['No synonyms found']	5.8	0.2841148376464844
shropshire	['No synonyms found']	5.1667	0.2899801731109619
probation	['delving', 'disquisition', 'examen', 'examination', 'exploration', 'inquest', 'inquiry', 'inquisition', 'investigation', 'probe', 'probing', 'research', 'study']	4.2	0.264815092086792
cardiovascular	['No synonyms found']	3.8333	0.26325392723083496
etiquette	['form', 'manner', 'mores', 'proprieties']	4.5714	0.26402807235717773
malignant	['bad', 'bitchy', 'catty', 'cruel', 'despiteful', 'hateful', 'malevolent', 'malicious', 'malign', 'mean', 'nasty', 'spiteful', 'vicious', 'virulent']	4.3333	0.2632629871368408
specimen	['baby', 'being', 'bird', 'bod', 'body', 'character', 'cookie', 'creature', 'customer', 'devil', 'duck', 'egg', 'face', 'fish', 'guy', 'head', 'human', 'human being', 'individual', 'life', 'man', 'mortal', 'party', 'person', 'personage', 'scout', 'slob', 'sort', 'soul', 'stiff', 'thing', 'wight']	3.8571	0.26224279403686523
bizjournal	['No synonyms found']	4.3333	0.28344178199768066
ramada	['No synonyms found']	4.8	0.2861917018890381
torque	['beads', 'carcanet', 'rivière', 'choker', 'collar', 'dog collar', 'lei', 'necklace', 'rope', 'strand', 'bangle', 'lavaliere', 'locket', 'pendant']	4.2857	0.2773561477661133
hypothesis	['proposition', 'supposition', 'theory', 'thesis']	3.85715	0.26415586471557617
contingency	['case', 'contingence', 'contingent', 'event', 'eventuality', 'possibility']	4.3333	0.2689080238342285
equity	['detachment', 'disinterest', 'disinterestedness', 'evenhandedness', 'fair-mindedness', 'fairness', 'impartiality', 'justice', 'neutralism', 'neutrality', 'nonpartisanship', 'objectiveness', 'objectivity']	4.1667	0.2661101818084717
demographic	['No synonyms found']	3.86905	0.2732508182525635
coalition	['bloc', 'block', 'body', 'faction', 'party', 'sect', 'set', 'side', 'wing']	4.5	0.26427388191223145
excerpt	['extract', 'passage']	4.083349999999999	0.26459169387817383
letras	['No synonyms found']	4.6667	0.297288179397583
seneca	['No synonyms found']	4.6	0.28189992904663086
covenant	['accord', 'alliance', 'compact', 'convention', 'pact', 'treaty']	4.3333	0.2634620666503906
salisbury	['No synonyms found']	4.4	0.28444695472717285
quasi	['No synonyms found']	4.8333	0.2621159553527832
genomic	['No synonyms found']	4.3333	0.2813539505004883
embroider	['color', 'elaborate (on)', 'embellish', 'exaggerate', 'hyperbolize', 'magnify', 'pad', 'stretch']	3.8333	0.2640669345855713
lincolnshire	['No synonyms found']	4.8	0.2865910530090332
dimm	['No synonyms found']	4.6	0.2899041175842285
physician	['croaker', 'doc', 'doctor', 'medic', 'medico', 'sawbones']	3.83335	0.2689337730407715
astronomical	['Brobdingnagian', 'bumper', 'colossal', 'cosmic', 'cyclopean', 'elephantine', 'enormous', 'galactic', 'gargantuan', 'giant', 'gigantesque', 'gigantic', 'grand', 'herculean', 'heroic', 'Himalayan', 'huge', 'humongous', 'immense', 'jumbo', 'king-size', 'leviathan', 'mammoth', 'massive', 'mega', 'mighty', 'monster', 'monstrous', 'monumental', 'mountainous', 'oceanic', 'pharaonic', 'planetary', 'prodigious', 'super', 'super-duper', 'supersize', 'supersized', 'titanic', 'tremendous', 'vast', 'vasty', 'walloping', 'whacking', 'whopping']	4.1429	0.26218700408935547
orchid	['No synonyms found']	4.2	0.2639429569244385
scsi	['No synonyms found']	4.4	0.28354310989379883
imprint	['trace', 'track', 'trail']	4.0	0.2626967430114746
websphere	['No synonyms found']	5.0	0.2759988307952881
amendment	['correction', 'emendation']	3.9286	0.2617762088775635
providence	['economy', 'frugality', 'husbandry', 'parsimony', 'penny-pinching', 'scrimping', 'skimping', 'thrift']	4.1429	0.2620091438293457
blogshare	['No synonyms found']	4.3333	0.28238582611083984
zen	['No synonyms found']	4.0	0.2675211429595947
cardiology	['No synonyms found']	4.0	0.26319217681884766
vaughn	['No synonyms found']	4.4	0.2844569683074951
programming	"['blueprinting', 'calculating', 'charting', 'concerting', 'designing', 'drafting', 'framing', 'hammering out', 'intriguing', 'laying out', 'maneuvering', 'mapping (out)', 'planning', 'schematizing', 'scheming', 'shaping', 'squaring away', 'working out', 'contracting', 'pledging', 'promising', 'choosing', 'concluding', 'determining', 'figuring', 'opting', 'resolving', 'agreeing (on)', 'arranging', 'deciding', 'fixing', 'setting', 'settling', 'affirming', 'approving', 'authorizing', 'clearing', 'confirming', ""OK'ing"", 'sanctioning', 'warranting', 'closing', 'completing', 'ending', 'finalizing', 'finishing', 'rounding (off or out)', 'winding up', 'wrapping up', 'bargaining', 'chaffering', 'dealing', 'dickering', 'haggling', 'horse-trading', 'negotiating']"	3.8333	0.2729489803314209
parliamentary	['bureaucratic', 'governmental', 'ministerial', 'official', 'administrative', 'directorial', 'executive', 'managerial', 'supervisory', 'regulatory', 'authoritarian', 'despotic', 'dictatorial']	4.4	0.2615182399749756
vicodin	['No synonyms found']	3.8571	0.2807958126068115
filipino	['No synonyms found']	4.0	0.2800929546356201
genealogy	['ancestry', 'birth', 'blood', 'bloodline', 'breeding', 'descent', 'extraction', 'family tree', 'line', 'lineage', 'origin', 'parentage', 'pedigree', 'stock', 'strain']	4.2857	0.259091854095459
apa	['No synonyms found']	5.2	0.2991058826446533
pediatric	['No synonyms found']	4.416650000000001	0.2827930450439453
wwf	['No synonyms found']	4.4	0.2824859619140625
coldfusion	['No synonyms found']	4.3333	0.28713417053222656
persecution	['aggravation', 'anger', 'annoyance', 'exasperation', 'irritation', 'trouble', 'bedevilment', 'botheration', 'bothering', 'bugging', 'disturbance', 'harassment', 'harrying', 'importunity', 'pestering', 'teasing', 'vexation', 'aggro', 'molestation', 'offense', 'provocation', 'torment', 'torture', 'load', 'weight', 'anxiety', 'concern', 'uneasiness', 'worry', 'pressure', 'strain', 'stress', 'tension']	4.4	0.2617368698120117
celexa	['No synonyms found']	4.8333	0.29425621032714844
transexuale	['No synonyms found']	4.1667	0.3060140609741211
statute	['act', 'bill', 'constitution', 'enactment', 'law', 'ordinance']	4.1667	0.26241493225097656
capitalism	['No synonyms found']	4.1667	0.32137584686279297
doctrine	['canon', 'dogma']	4.0	0.2706758975982666
conviction	['assurance', 'assuredness', 'certainty', 'certitude', 'cocksureness', 'confidence', 'doubtlessness', 'face', 'positiveness', 'satisfaction', 'sureness', 'surety']	4.083349999999999	0.27007389068603516
snyder	['No synonyms found']	4.6	0.27868175506591797
respondent	['interviewee', 'pollee', 'answerer', 'replier', 'responder', 'attester', 'informant', 'reporter', 'testifier', 'witness']	3.98335	0.25812602043151855
judicial	['No synonyms found']	3.8333	0.26180195808410645
plaque	['cross', 'marker', 'table', 'tablet', 'gravestone', 'headstone', 'monument', 'stone', 'tombstone', 'monolith', 'obelisk', 'pillar', 'memorial', 'shrine', 'burial', 'sepulchre', 'sepulture', 'tomb']	3.8333	0.25905513763427734
federally	['No synonyms found']	3.8333	0.2816188335418701
outrageous	['shocking', 'conspicuous', 'notable', 'noticeable', 'outstanding', 'prominent', 'salient', 'striking', 'eye-catching', 'flamboyant', 'remarkable', 'showy', 'splashy', 'extraordinary', 'fantastic', 'freak', 'freakish', 'freaky', 'phantasmagoric', 'phenomenal', 'atypical', 'rare', 'singular', 'uncommon', 'uncustomary', 'unique', 'unusual', 'unwonted', 'bizarre', 'bizarro', 'cranky', 'crazy', 'curious', 'eccentric', 'erratic', 'far-out', 'funky', 'funny', 'kinky', 'kooky', 'odd', 'offbeat', 'off-kilter', 'off-the-wall', 'outlandish', 'out-of-the-way', 'outré', 'peculiar', 'quaint', 'queer', 'queerish', 'quirky', 'rum', 'screwy', 'spaced-out', 'strange', 'wacky', 'way-out', 'weird', 'weirdo', 'wild', 'crotchety', 'idiosyncratic', 'nonconformist', 'nonmainstream', 'out-there', 'unconventional', 'unorthodox', 'baffling', 'bewildering', 'confounding', 'mystifying', 'perplexing', 'puzzling']	4.2	0.2583458423614502
municipality	['asphalt jungle', 'burg', 'city', 'cosmopolis', 'megacity', 'megalopolis', 'metropolis', 'town']	4.1429	0.2673218250274658
sioux	['No synonyms found']	5.4	0.2599968910217285
differentiation	['demarcation', 'discreteness', 'discrimination', 'distinction', 'separation', 'isolation', 'segregation']	4.1429	0.25902295112609863
abnormality	['anomaly', 'freak', 'monster', 'monstrosity']	3.8571	0.26942896842956543
lesion	['beating', 'crippling', 'mayhem', 'mutilation', 'affliction', 'damage', 'detriment', 'harm', 'hurt', 'injury', 'defacement', 'disability', 'disablement', 'disfigurement', 'impairment', 'rupture', 'strain', 'abrasion', 'chafe', 'scrape', 'scratch', 'boo-boo', 'bruise', 'contusion', 'swelling', 'wound', 'bump', 'concussion', 'cut', 'gash', 'laceration', 'burn', 'scald', 'scar', 'scathe', 'sear']	4.8333	0.2587928771972656
beastiality	['No synonyms found']	4.1667	0.28739476203918457
sovereignty	['autonomy', 'freedom', 'independence', 'independency', 'liberty', 'self-determination', 'self-governance', 'self-government']	4.0	0.2612190246582031
metacritic	['No synonyms found']	4.3333	0.28089189529418945
perception	['discernment', 'insight', 'perceptiveness', 'perceptivity', 'sagaciousness', 'sagacity', 'sageness', 'sapience', 'wisdom']	4.1548	0.2629101276397705
bibtex	['No synonyms found']	4.7143	0.2763030529022217
centennial	['No synonyms found']	4.2	0.2712841033935547
mandrake	['No synonyms found']	5.1667	0.2612621784210205
quo	['back-and-forth', 'barter', 'commutation', 'dicker', 'exchange', 'swap', 'trade', 'trade-off', 'truck']	4.0	0.26369524002075195
transient	['brief', 'deciduous', 'ephemeral', 'evanescent', 'flash', 'fleeting', 'fugacious', 'fugitive', 'impermanent', 'momentary', 'passing', 'short-lived', 'temporary', 'transitory']	4.2857	0.2743690013885498
sapien	['No synonyms found']	4.8	0.28392696380615234
aperture	['hole', 'opening', 'orifice', 'perforation']	4.3333	0.26102709770202637
regiment	['battalion', 'command', 'company', 'corps', 'division', 'platoon', 'squad', 'squadron', 'troop', 'wing', 'detachment', 'detail', 'commando', 'firing squad', 'outpost', 'paratroops', 'patrol', 'picket', 'rear guard', 'sentry', 'watch']	4.5	0.2645530700683594
parity	['coequality', 'coordinateness', 'equality', 'equivalence', 'equivalency', 'par', 'sameness']	4.2	0.27325916290283203
equitable	['candid', 'disinterested', 'dispassionate', 'equal', 'evenhanded', 'fair', 'impartial', 'indifferent', 'just', 'nonpartisan', 'objective', 'square', 'unbiased', 'unprejudiced']	4.0	0.26294493675231934
telecommunication	['No synonyms found']	3.91665	0.26350903511047363
manifold	['divers', 'multifarious', 'myriad']	4.0	0.26271605491638184
reciprocal	['complementary', 'correlative', 'supplemental', 'supplementary']	3.8571	0.26937198638916016
vonage	['No synonyms found']	5.2	0.2897911071777344
mccormick	['No synonyms found']	4.0	0.2887890338897705
reconciliation	['accord', 'reconcilement', 'appeasement', 'conciliation', 'acceptance', 'acquiescence', 'concession', 'détente', 'rapprochement', 'peace', 'peacetime', 'armistice', 'cease-fire', 'truce']	4.2857	0.27396583557128906
anthology	['album', 'collectanea', 'compendium', 'compilation', 'florilegium', 'miscellany', 'reader']	4.7143	0.2649068832397461
partisan	['biased', 'one-sided', 'parti pris', 'partial', 'prejudiced']	4.1667	0.26914000511169434
concession	['accommodation', 'compromise', 'give-and-take', 'negotiation']	3.8333	0.26633286476135254
spectral	['ghastly', 'ghostlike', 'ghostly', 'ghoulish', 'phantom', 'metaphysical', 'other-worldly', 'paranormal', 'preternatural', 'supernatural', 'transcendent', 'transcendental', 'unearthly', 'creepy', 'eerie', 'haunting', 'spookish', 'spooky', 'uncanny', 'weird', 'cadaverous', 'wraithlike', 'bodiless', 'disembodied', 'ethereal', 'formless', 'immaterial', 'incorporeal', 'insubstantial', 'nonmaterial', 'nonphysical', 'spiritual', 'unbodied', 'unsubstantial', 'impalpable', 'insensible', 'intangible', 'invisible', 'airy', 'diaphanous', 'gaseous', 'gossamery', 'tenuous', 'thin', 'vaporous', 'wispish', 'inactive', 'inert', 'inoperative', 'lifeless', 'quiescent', 'still', 'macabre', 'dreadful', 'fearsome', 'horrible', 'horrifying', 'terrible', 'terrifying', 'baleful', 'fatal', 'fateful', 'fell', 'killer', 'lethal', 'murderous', 'pestilent', 'dead', 'deadly', 'deathly', 'mortal', 'mortuary']	4.4286	0.26786088943481445
bilateral	['consensual', 'reciprocal', 'symbiotic', 'synergic', 'synergistic', 'two-way', 'collaborative', 'collective', 'combined', 'common', 'communal', 'concerted', 'conjoint', 'conjunct', 'cooperative', 'joint', 'multiple', 'mutual', 'pooled', 'public', 'shared', 'united', 'mass', 'popular']	4.1429	0.26657986640930176
antigen	['No synonyms found']	4.2857	0.2974369525909424
remediation	['No synonyms found']	4.2	0.2697629928588867
decal	['badge', 'plaque', 'seal', 'stamp', 'sticker', 'brand', 'emblem', 'hallmark', 'logo', 'mark', 'symbol', 'trademark', 'caption', 'legend', 'label', 'marker', 'tag', 'ticket']	4.4	0.27209973335266113
travelocity	['No synonyms found']	5.0	0.285506010055542
polytechnic	['No synonyms found']	4.1667	0.2656137943267822
png	['No synonyms found']	3.8333	0.27051782608032227
shalt	['No synonyms found']	4.8	0.2631988525390625
accountancy	['No synonyms found']	4.1667	0.28931403160095215
interim	['ad interim', 'impermanent', 'provisional', 'provisionary', 'provisory', 'short-term', 'temporary']	3.8571	0.2656688690185547
consolidation	['combination', 'combining', 'connecting', 'connection', 'coupling', 'junction', 'linking', 'merger', 'merging', 'unification', 'union']	4.0	0.2632791996002197
expedition	['journey', 'passage', 'peregrination', 'travel(s)', 'trek', 'trip']	3.8571	0.26485514640808105
remedial	['amendatory', 'corrective', 'rectifying', 'reformative', 'reformatory', 'remedying']	4.0	0.263901948928833
substantive	['biggish', 'considerable', 'good', 'goodly', 'handsome', 'healthy', 'largish', 'major', 'respectable', 'significant', 'sizable', 'substantial', 'tidy']	4.0	0.2628169059753418
acoustic	['audial', 'audile', 'auditory', 'aural', 'auricular']	3.9286	0.26477694511413574
xml	['No synonyms found']	4.0	0.2847256660461426
goblet	['chalice', 'cup', 'demitasse', 'glass', 'mug', 'teacup', 'dinnerware', 'tableware', 'china', 'chinaware', 'crockery', 'earthenware', 'porcelain', 'pottery', 'stoneware', 'ware', 'crystal', 'glassware']	4.4	0.2692527770996094
regent	['No synonyms found']	4.0	0.2822690010070801
newfoundland	['No synonyms found']	4.2	0.2710857391357422
imminent	['impending', 'looming', 'pending', 'threatening']	3.8571	0.2692909240722656
clarion	['clear', 'trumpetlike', 'grating', 'harsh', 'shrill', 'squealing', 'strident', 'brazen', 'crashing', 'dinning', 'discordant', 'noisy', 'obstreperous', 'raucous', 'rip-roaring', 'vociferous', 'blaring', 'blasting', 'booming', 'clamorous', 'clangorous', 'deafening', 'earsplitting', 'loud', 'overloud', 'piercing', 'plangent', 'resounding', 'ringing', 'roaring', 'sonorous', 'stentorian', 'thundering', 'thunderous']	4.4	0.26169705390930176
discrepancy	['contrast', 'difference', 'disagreement', 'disparateness', 'disparity', 'dissimilarity', 'dissimilitude', 'distance', 'distinction', 'distinctiveness', 'distinctness', 'diverseness', 'diversity', 'otherness', 'unlikeness']	4.0	0.27282190322875977
deviant	['aberrant', 'aberrational', 'abnormal', 'anomalous', 'atypical', 'deviate', 'devious', 'irregular', 'unnatural', 'untypical']	4.4	0.2761688232421875
ulster	"['chesterfield', 'frock coat', 'mackinaw', 'greatcoat', 'overcoat', 'surcoat', 'topcoat', 'jacket', 'parka', 'surtout', 'oilskin', 'raincoat', ""sou'wester"", 'wrap']"	5.1667	0.2628769874572754
dentistry	['No synonyms found']	3.8333	0.2866220474243164
tft	['No synonyms found']	4.4	0.2983551025390625
depreciation	['belittlement', 'denigration', 'deprecation', 'derogation', 'detraction', 'diminishment', 'disparagement', 'put-down']	4.1429	0.26711392402648926
capri	['No synonyms found']	4.8	0.2846648693084717
semantic	['No synonyms found']	3.85715	0.29143667221069336
