original_word	synonyms	score	time_elapsed
cow	['moo-cow', 'overawe', 'bovine', 'bull', 'cattle', 'oxen', 'beef', 'cowboy', 'buffalo', 'crap', 'pig', 'hippo', 'hippopotamus', 'horse', 'stinker', 'lard-ass', 'parsnip', 'fat-ass', 'burning', 'animal', 'pock', 'blood', 'rinderpest', 'baby', 'puncher', 'female', 'boy', 'man', 'jerk', 'dude', 'geez', 'bitchy', 'mother', 'nasty', 'blimp', 'frenzy', 'vaca', 'rage', 'madness', 'harsh', 'craze', 'mad', 'insane', 'intimidate', 'awe', 'tough', 'shame', 'damn', 'god', 'bad', 'christ', 'jesus', 'mean', 'dog', 'bse', 'niu', 'blimey', 'gosh', 'kow', 'punchers', 'sheep', 'goat', 'dairy cattle', 'heifer', 'herd', 'holstein', 'ewe', 'livestock', 'shorthorn', 'black angus', 'udder', 'dairy', 'donkey', 'swine', 'milch cow', 'milk', 'dairy farm', 'pasture', 'dairy cow', 'boviform', 'vachery', 'theave', 'hog', 'piglet', 'calves', 'caprid', 'baby beef', 'yeanling', 'domestic sheep', 'beast of burden', 'young mammal', 'foot rot', 'pack animal', 'llama', 'dairywoman', 'pasturer', 'cowleech', 'domestic goat', 'hogherd', 'bullock']	1.7856999999999998	0.4844059944152832
task	['job', 'chore', 'project', 'labor', 'tax', 'undertaking', 'work', 'assignment', 'mission', 'employment', 'enterprise', 'vocation', 'workplace', 'workload', 'working', 'operation', 'service', 'charge', 'order', 'operational', 'company', 'operating', 'business', 'function', 'position', 'functioning', 'duty', 'grouping', 'mandate', 'remit', 'process', 'liability', 'group', 'obligation', 'taskforce', 'responsible', 'cluster', 'action', 'competence', 'responsibility', 'bunch', 'party', 'study', 'behalf', 'intervention', 'activity', 'homework', 'commitment', 'goal', 'works', 'feature', 'purpose', 'mandated', 'caucus', 'part', 'issue', 'significant', 'priority', 'discussion', 'regard', 'end', 'important', 'objective', 'try', 'multinational', 'topic', 'thematic', 'subject', 'thing', 'height', 'brief', 'endeavor', 'role', 'endeavour', 'challenge', 'special', 'force', 'venture', 'stint', 'concern', 'onus', 'load', 'effort', 'burden', 'feat', 'abandonment', 'groupe', 'labour', 'equipment', 'step', 'travail', 'computer', 'easier', 'post', 'cell', 'ffm', 'machine', 'problem', 'taskbar', 'spot']	1.7856999999999998	0.38904237747192383
short	['little', 'pint-size', 'pint-sized', 'runty', 'truncated', 'dumpy', 'scant', 'squat', 'brusk', 'squatty', 'tender', 'truncate', 'shortsighted', 'snub', 'dead', 'brusque', 'chunky', 'squabby', 'close', 'stumpy', 'abruptly', 'suddenly', 'poor', 'impatient', 'stubby', 'clipped', 'hotheaded', 'ill-natured', 'hot-tempered', 'short-tempered', 'irascible', 'deficient', 'quick-tempered', 'choleric', 'fugitive', 'insufficient', 'brief', 'forgetful', 'inadequate', 'fleeting', 'momentary', 'short-change', 'shortly', 'discourteous', 'direct', 'short-term', 'half-length', 'momentaneous', 'improvident', 'short-dated', 'unawares', 'abbreviated', 'curt', 'curtly', 'short and sweet', 'unaccented', 'short-circuit', 'unstressed', 'unretentive', 'unforbearing', 'short-range', 'sawed-off', 'short circuit', 'curtal', 'light', 'squab', 'shortstop', 'low-set', 'short-run', 'shortened', 'telescoped', 'unforesightful', 'slim', 'petite', 'narrow', 'slightly', 'diminutive', 'tiny', 'petit', 'shorty', 'sparsely', 'small', 'shorten', 'less', 'reduced', 'minimal', 'barely', 'restricted', 'tight', 'limited', 'slight', 'inferior', 'substandard', 'scarce', 'condensed', 'short-sighted', 'cursory', 'under', 'minor', 'weak']	1.648825	0.4312279224395752
live	['alive', 'live on', 'survive', 'subsist', 'endure', 'hold out', 'last', 'dwell', 'lively', 'loaded', 'charged', 'hold up', 'know', 'reside', 'exist', 'experience', 'active', 'be', 'whippy', 'populate', 'people', 'inhabit', 'bouncy', 'glowing', 'ringing', 'current', 'hot', 'unfilmed', 'untaped', 'shack', 'unrecorded', 'smouldering', 'smoldering', 'elastic', 'springy', 'resilient', 'reverberant', 'go', 'in play', 'vis', 'strong', 'survival', 'thrive', 'subsistence', 'invigorate', 'enliven', 'tolerate', 'occur', 'abide', 'cope', 'meet', 'stand', 'keep', 'great', 'overcome', 'comply', 'deep', 'increasingly', 'stay', 'lifetime', 'on-the-spot', 'immediate', 'straight', 'actual', 'remain', 'vivid', 'vive', 'intense', 'accommodate', 'vibrant', 'zippy', 'vivacious', 'show', 'keen', 'viva', 'directly', 'undergo', 'depend', 'real', 'straightforward', 'accept', 'practise', 'direct', 'enjoy', 'have', 'slight', 'conduct', 'fresh', 'born', 'settle', 'moving', 'raise', 'install', 'take', 'installer', 'face-to-face', 'belong', 'easygoing', 'ever', 'move']	1.5237999999999998	0.40389013290405273
fast	['tight', 'instantaneous', 'immediate', 'instant', 'true', 'profligate', 'constant', 'faithful', 'loyal', 'immobile', 'fixed', 'alacritous', 'prompt', 'degraded', 'degenerate', 'swift', 'immoral', 'hurried', 'quick', 'hastening', 'speedy', 'rapid', 'accelerated', 'accelerating', 'hurrying', 'high-speed', 'smooth', 'riotous', 'speeding', 'dissolute', 'dissipated', 'debauched', 'scurrying', 'libertine', 'firm', 'double-quick', 'locked', 'hot', 'red-hot', 'colorfast', 'tinted', 'dyed', 'barred', 'flying', 'vivace', 'allegretto', 'prestissimo', 'presto', 'andantino', 'allegro', 'fleet', 'jet-propelled', 'meteoric', 'straightaway', 'blistering', 'winged', 'bolted', 'fastened', 'latched', 'secured', 'firmly', 'solidly', 'readily', 'expedient', 'timely', 'promptness', 'timeliness', 'easy', 'strong', 'secure', 'promptly', 'immediately', 'pronto', 'shortly', 'asap', 'stat', 'efficient', 'close', 'virtually', 'ready', 'rigid', 'brief', 'away', 'nearly', 'almost', 'soon', 'urgent', 'sooner', 'hard', 'hardly', 'practically', 'get', 'salient', 'dramatically', 'miraculously', 'stretcher', 'now', 'permanent', 'easily', 'urgently']	1.7063333333333333	0.4003760814666748
red	['reddened', 'crimson', 'reddish', 'ruddy', 'redness', 'scarlet', 'flushed', 'ruby-red', 'cerise', 'carmine', 'cherry-red', 'cherry', 'ruby', 'blood-red', 'aflame', 'colored', 'colorful', 'coloured', 'bloody', 'chromatic', 'violent', 'red-faced', 'bolshevik', 'marxist', 'pinko', 'red river', 'in color', 'rouge', 'yellow', 'blush', 'blushing', 'purple', 'vermilion', 'blu', 'magenta', 'amber', 'coco', 'vino', 'root', 'dogwood', 'roux', 'reed', 'redheaded', 'red-haired', 'redhead', 'lipstick', 'erythrocyte', 'hot', 'network', 'net', 'sanguine', 'web', 'sockeye', 'bluefin', 'goldfish', 'pink', 'chek', 'glow', 'bloodshot', 'flush', 'globular', 'swimming', 'hung', 'sandpiper', 'ptarmigan', 'crossbill', 'thrasher', 'buckle', 'rot', 'foul', 'black', 'shade', 'marked', 'dark', 'cross', 'soft', 'rmb', 'rash', 'redd', 'hotline', 'crazy', 'assiniboine', 'hong', 'bonus', 'average', 'lall', 'popular', 'cardinal', 'embarrassed', 'networked', 'commie', 'khmer', 'bureaucratic', 'administrative', 'communist', 'networking', 'adr', 'rote', 'the', 'deficit']	1.32145	0.40669727325439453
silver	['argent', 'metal', 'silverish', 'silvery', 'metallic', 'silvern', 'ash grey', 'ash gray', 'achromatic', 'flatware', 'colorless', 'fluent', 'bright', 'ag', 'articulate', 'eloquent', 'smooth-spoken', 'silver-tongued', 'facile', 'atomic number 47', 'silver gray', 'silver grey', 'mercury', 'granite', 'argentine', 'bronze', 'gold', 'grey', 'gray', 'silverware', 'fir', 'membrane', 'beer', 'cutlery', 'plate', 'dough', 'shiner', 'renard', 'boc', 'ramp', 'hall', 'buck', 'herring', 'gorilla', 'minnow', 'fox', 'coho', 'cylinder', 'afdb', 'bullion', 'dollar', 'elderly', 'monies', 'coin', 'yin', 'adb', 'knight', 'moneys', 'cure', 'monetary', 'currency', 'talk', 'disbursement', 'cash', 'payment', 'banking', 'pay', 'bank', 'money', 'repayment', 'scandal', 'aberdeen', 'ngan', 'plata', 'foxes', 'gris', 'copper', 'pewter', 'siver', 'platinum', 'black', 'blue', 'turquoise', 'golden', 'purple', 'white', 'gilded', 'siler', 'brass', 'yellow', 'goldish', 'cobalt', 'colloidal', 'burgundy', 'metals', 'filagree', 'chrome', 'aluminum', 'titanium', 'zinc']	1.7143	0.3972611427307129
cake	"['coat', 'bar', 'patty', 'doughnut', 'pudding', 'fruitcake', 'twinkie', 'biscuit', 'cookie', 'cheesecake', 'pie', 'bun', 'cracker', 'pastry', 'cupcake', 'candy', 'gravy', 'dessert', 'sundae', 'chocolate', 'bread', 'cream', 'butter', 'ice-cream', 'burger', 'bakery', 'marc', 'baking', 'meal', 'picnic', 'cobbler', 'cinch', 'pee', 'claw', 'gate', 'breeze', 'haart', 'porter', 'snap', 'top', 'yeah', 'tart', 'child', 'harden', 'solidify', 'piece', 'cakewalk', 'kicker', 'cookies', 'pancakes', 'cupcakes', 'icing', 'frosting', 'buttercream', 'spongecake', 'brownies', 'gateau', 'brownie', 'marzipan', 'tiramisu', 'bundt', 'desserts', 'fondant', 'bake', 'simnel', 'torte', 'baked', 'cuppy', 'coffeecake', 'cheesecakes', 'confection', 'donut', 'muffins', 'sponge cake', 'cream cake', 'shortcake', 'christmas cake', 'birthday cake', 'chocolate cake', 'sheet cake', 'fancy', 'angel cake', 'cake mix', 'drop cake', 'fudge cake', 'tiffin', 'yule cake', 'pound cake', 'heavy cake', ""devil's food cake"", 'creamcake', 'gooey butter cake', 'wedding cake', 'gâteau', 'layer cake', 'cake pop', 'caker', 'jelly cake', 'carrot cake', 'eccles cake']"	1.7619	0.40032076835632324
safe	['secure', 'safe and sound', 'safety', 'risk-free', 'dependable', 'harmless', 'innocuous', 'off the hook', 'sound', 'riskless', 'good', 'unhurt', 'unadventurous', 'unhazardous', 'fail-safe', 'condom', 'prophylactic', 'rubber', 'out of danger', 'securely', 'sure', 'immune', 'peaceful', 'surely', 'security', 'except', 'right', 'certainly', 'salvo', 'certainty', 'certain', 'alone', 'steady', 'quiet', 'confident', 'self-assured', 'self-confident', 'reassuring', 'cautious', 'assurance', 'careful', 'reliable', 'positive', 'trusted', 'clean', 'convinced', 'benign', 'flawless', 'definite', 'unsure', 'uncertain', 'well', 'pure', 'prudent', 'unsafe', 'risky', 'fail', 'alive', 'risk', 'healthy', 'hazard', 'course', 'hazardous', 'dangerous', 'integrity', 'danger', 'assured', 'wholesomeness', 'free', 'inoffensive', 'unharmed', 'strong', 'wholesome', 'insecure', 'without', 'healthful', 'salubrious', 'proper', 'unscathed', 'unthreatened', 'sure-fire', 'well-kept', 'friendly', 'ridden', 'fine', 'predictable', 'nonpoisonous', 'save', 'uninfected', 'protected', 'protect', 'protégé', 'own', 'sour', 'firm', 'treasury', 'clear', 'insured', 'insurance', 'saved']	1.54765	0.3919658660888672
hot	['calefacient', 'scorching', 'baking hot', 'torrid', 'red-hot', 'burning', 'warming', 'scalding', 'sweltry', 'sweltering', 'white-hot', 'warm', 'sultry', 'fiery', 'sizzling', 'flaming', 'igneous', 'heatable', 'white', 'boiling', 'calefactory', 'heating', 'pungent', 'calorifacient', 'calorific', 'thermal', 'gingery', 'calefactive', 'radioactive', 'stifling', 'het up', 'tropical', 'violent', 'overheated', 'tropic', 'close', 'spicy', 'blistering', 'peppery', 'baking', 'blistery', 'fervid', 'fervent', 'charged', 'eager', 'heated', 'sensual', 'live', 'raging', 'sexy', 'sulfurous', 'fast', 'sulphurous', 'skilled', 'near', 'fresh', 'wanted', 'new', 'het', 'popular', 'lucky', 'good', 'illegal', 'active', 'unpleasant', 'heated up', 'overheating', 'warmer', 'warmth', 'heat', 'incendiary', 'cool', 'incandescent', 'effervescent', 'flame', 'outlet', 'glowing', 'volatile', 'hot-button', 'chilly', 'sharp', 'cold', 'stuffy', 'bath', 'hottie', 'stove', 'sweaty', 'sweating', 'pissed', 'har', 'uphill', 'barrel', 'strip', 'leggy', 'temperature', 'high', 'elevated', 'plate', 'fort', 'hairy']	1.57145	0.398054838180542
