original_word	synonyms	score	time_elapsed
rameux	[]	1119.5661107884391	0.4274423122406006
bisannuel	[]	750.9284889434655	0.42154479026794434
bulbeux	[]	682.6622626758776	0.4250659942626953
paysager	[]	450.5570933660792	0.42330217361450195
officinal	['herbalized', 'edible', 'ethnoherbal', 'polyherbal', 'balsamic', 'viniferous', 'dilly', 'saxigenous', 'jasminy', 'virid', 'herbish', 'silvicolous', 'sempervirent', 'liliform', 'herbaged', 'floreated', 'japonica', 'macrobiotic', 'inesculent', 'oriental', 'fimetarious', 'verdant', 'cibarious', 'rosemaried', 'oak-leaved', 'vined', 'semishrubby', 'frutescent', 'nardine', 'weedproof', 'liliate', 'goldenrod', 'dandelion', 'mint', 'jasmined', 'pyrethric', 'glucous', 'aloed', 'berried', 'bacciferous', 'homegrown', 'fig-leaved', 'chamaesiphonaceous', 'subarboreal', 'beferned', 'mignonette', 'zingiberaceous', 'weedgrown', 'viridigenous', 'common', 'rapelike', 'hempy', 'cornic', 'ferned', 'intershrub', 'xerarch', 'kaliform', 'moric', 'chrysanthemumed', 'hederiform', 'ivy-leaved', 'woady', 'broomy', 'aurific', 'brackeny', 'afforested', 'old-man', 'baccate', 'ergotized', 'preparations', 'plants', 'part', 'allheal', 'althaea', 'althea', 'bittersweet', 'hellebore', 'magistral', 'official', 'picra', 'sea onion', 'snakeroot', 'species', 'squill', 'valerian', 'vapor', 'airborne', 'ammoniacal', 'antacid', 'antimonial', 'astringent', 'basic', 'belligerent', 'benzodiazepines', 'benzoic', 'codewords', 'collegiate', 'combustible', 'concealments', 'consents']	436.9038481125617	0.45583605766296387
axillaire	[]	395.94411235200903	0.4233391284942627
tourbeux	[]	204.7986788027633	0.42490386962890625
promotionnel	[]	150.1856977886931	0.42420315742492676
comestible	['eatable', 'pabulum', 'edible', 'victual', 'killable', 'nontoxic', 'nonpoisonous', 'victuals', 'foody', 'eatworthy', 'ingestible', 'esculent', 'feedable', 'munchable', 'digestible', 'gustable', 'consumable', 'nourishable', 'palatable', 'oralizable', 'delicious', 'cookable', 'kitchenable', 'chewable', 'devourable', 'snackable', 'bakeable', 'stomachable', 'harvestable', 'nibbleable', 'servable', 'relishable', 'masticable', 'drinkable', 'swallowable', 'commercializable', 'appetible', 'partakeable', 'commerciable', 'nutritious', 'salifiable', 'plantable', 'compostable', 'saleable', 'vendible', 'forageable', 'delectable', 'refrigeratable', 'garnishable', 'advertisable', 'putrescible', 'refrigerable', 'fermentable', 'gnawable', 'dippable', 'purveyable', 'nonperishable', 'offerable', 'manducable', 'flourishable', 'cultivable', 'ingestable', 'tastable', 'tangible', 'boilable', 'farmable', 'marketable', 'commodious', 'good enough to eat', 'drinkworthy', 'cultivatable', 'deglutible', 'croppable', 'processable', 'stuffable', 'alimentative', 'conformable', 'wagerable', 'tasteable', 'brewable', 'decoctible', 'inhabitable', 'digestable', 'adulterable', 'entertainable', 'grazeable', 'alcoholizable', 'comprisable', 'portionable', 'metabolizable', 'appetizing', 'imbibable', 'slaughterable', 'cherishable', 'grindable', 'assimilable', 'exploitable', 'vendable', 'absorbable', 'domesticatable']	120.14855823095446	0.46519994735717773
intertropical	['semitropical', 'ecotonal', 'subequatorial', 'epicontinental', 'nontropical', 'subantarctic', 'tropical', 'subpolar', 'hyperarid', 'subtropical', 'equitorial', 'equatorial', 'submontane', 'coralligenous', 'subtropic', 'inlands', 'intracontinental', 'nonvolcanic', 'refugial', 'lagoonal', 'transtension', 'preglacial', 'circumglobal', 'intracratonic', 'peripheric', 'subarctic', 'subhumid', 'phytogeographic', 'geotectonic', 'phytogeographical', 'pantropical', 'holarctic', 'climatical', 'premontane', 'neotropical', 'transtensional', 'macrotidal', 'oceanic', 'oceanographical', 'siliciclastic', 'equinoctial', 'bathyal', 'tropic', 'microtidal', 'mesophytic', 'hydrographical', 'morainal', 'digenetic', 'suboxic', 'planetocentric', 'periglacial', 'integumental', 'zoogeographical', 'postfrontal', 'ecotope', 'microcontinent', 'peripherical', 'unglaciated', 'galactocentric', 'nonmarine', 'anticyclonic', 'zoogeographic', 'infralittoral', 'ecotopes', 'westem', 'phytoplanktonic', 'erotogenic', 'seafloors', 'interoceanic', 'interpolar', 'periclinal', 'lowlying', 'paradisaic', 'malacological', 'intratropical', 'subsolar', 'paratropical', 'interlatitudinal', 'transequatorial', 'interzonal', 'interhemispherical', 'interocean', 'intrapolar', 'interseasonal', 'interzone', 'intercontinental', 'intercanopy', 'interterm', 'interantennal', 'intervortex', 'intercentral', 'intertuberal', 'intertwin', 'interborder', 'interterritorial', 'intertroop', 'intercountry', 'interstream', 'intertaxon', 'interstrial']	109.22596202814044	0.4663228988647461
