original_word	synonyms	score	time_elapsed
picard	['romulan', 'riker', 'klingon', 'sisko', 'lancelot', 'janeway', 'starfleet', 'geordi', 'tongo', 'chekov', 'brion', 'deckard', 'klingons', 'nimoy', 'ricard', 'blackadder', 'garf', 'bergerac', 'romulans', 'bertrand', 'benoit', 'gaius', 'bergeron', 'breen', 'caius', 'uhura', 'dougall', 'carville', 'maurice', 'lorre', 'spock', 'roslin', 'lafontaine', 'carden', 'ansel', 'charron', 'maron', 'cletus', 'roussel', 'chirac', 'marceau', 'horatio', 'barbier', 'holst', 'caterina', 'baine', 'bellatrix', 'capitaine', 'mortimer', 'stewie', 'bouchard', 'phillipe', 'breaux', 'bradlee', 'carlito', 'verne', 'visser', 'grif', 'tarquin', 'starbird', 'moller', 'jervis', 'sarg', 'macklin', 'armond', 'filipe', 'gerard', 'penelope', 'pelletier', 'rousseau', 'chartier', 'weinberger', 'asch', 'ballou', 'coupland', 'barnaby', 'hutton', 'camille', 'agron', 'cassio', 'denzil', 'basile', 'galahad', 'portillo', 'roark', 'scanlan', 'shatner', 'capitan', 'rimbaud', 'stoltz', 'lacroix', 'quade', 'hutchins', 'chappelle', 'slattery', 'hoskins', 'armando', 'jette', 'grissom', 'gifford']	0.0945952327033548	0.4585690498352051
brique	[]	0.0941603120932245	0.4224057197570801
hospitalier	['academic', 'hospital', 'hospitality', 'inpatient', 'university', 'welcoming']	0.0924599001366877	0.42418408393859863
volontaire	['voluntary', 'volent', 'voluntaristic', 'voluntarism', 'voluntariness', 'volunteer', 'volaille', 'volunteerism', 'free french', 'volition', 'voluntarist', 'gratuit', 'volunteered', 'volunteering', 'francais', 'candidature', 'francophone', 'volunteers', 'voluntarily', 'combattant', 'volitional', 'volitive', 'indorser', 'militaire', 'participator', 'obliger', 'french', 'volunteer work', 'francophil', 'vendee', 'servir', 'disponible', 'responsable', 'voluntaryism', 'colporteur', 'willingness', 'valeur', 'volant', 'libre', 'voyage', 'participations', 'valore', 'accepter', 'anglais', 'participative', 'rencontre', 'civism', 'voltigeur', 'campagne', 'belgique', 'proposer', 'qui vive', 'altruism', 'libreville', 'marocain', 'proletaire', 'participatory', 'belge', 'ouvert', 'allemand', 'traduction', 'altruistic', 'volmer', 'galere', 'france', 'ouverture', 'voland', 'courage', 'frans', 'verite', 'marque', 'faire', 'bonne', 'visiter', 'frenchman', 'militance', 'trouvaille', 'caporal', 'volage', 'perso', 'willingly', 'lesueur', 'meuniere', 'vocation', 'camarade', 'volans', 'franc', 'tranchet', 'volge', 'choisir', 'altruist', 'complet', 'contribution', 'compris', 'allemagne', 'rendu', 'voyageur', 'contributive', 'honore', 'choix']	0.0909542614964159	0.426926851272583
pathologique	['cardia', 'concomitants', 'familial', 'hypermobility', 'immaturity', 'lordosis', 'mains', 'metabolic', 'narrowings', 'ne', 'neurology', 'physiologic', 'plus', 'puberty', 'sauvage', 'shunt', 'sociale', 'sphincter']	0.0906188844260014	0.4243602752685547
lamentable	['sad', 'sorrowful', 'pitiful', 'distressing', 'deplorable', 'bad', 'sorry', 'woeful', 'tragic', 'saddening', 'grievous', 'depressing', 'pathetic', 'dreadful', 'appalling', 'terrible', 'wretched', 'miserable', 'pity', 'dismal', 'painful', 'embarrassing', 'shame', 'despicable', 'regrettable', 'regretful', 'disappointing', 'dire', 'disagreeable', 'regret', 'shameful', 'disgraceful', 'disgrace', 'abject', 'unfortunate', 'lame', 'objectionable', 'rotten', 'poor', 'parlous', 'unhappy', 'reprehensible', 'abysmal', 'calamitous', 'ghastly', 'atrocious', 'dismaying', 'inexcusable', 'execrable', 'lament', 'abominable', 'lamented', 'unforgivable', 'awful', 'horrid', 'pitiable', 'disastrous', 'discreditable', 'regretable', 'inexplicable', 'ignominious', 'laudable', 'abhorrent', 'unforgiveable', 'unsurprising', 'horrible', 'contemptible', 'horrifying', 'irksome', 'ignoble', 'odious', 'horrendous', 'horrific', 'loathsome', 'farcical', 'doleful', 'hideous', 'tragical', 'troubling', 'censurable', 'baffling', 'bemoan', 'appaling', 'infelicitous', 'laughable', 'ruinous', 'lugubrious', 'shocking', 'ludicrous', 'grotesque', 'bemoaned', 'peculiar', 'remarkable', 'ignominous', 'alarming', 'bewailed', 'admirable', 'scandalous', 'damnable', 'disquieting']	0.086963345563806	0.45563793182373047
insaisissable	['elusive']	0.0856898237668465	0.43782782554626465
courtois	['guerrier', 'maniere', 'singulier', 'artois', 'penser', 'parlant', 'portera', 'poterit', 'durer', 'mortier', 'priester', 'natale', 'allier', 'hildebrand', 'universite', 'bosser', 'maistre', 'souliers', 'pariter', 'vereen', 'respirer', 'pastore', 'navas', 'indiens', 'amans', 'destinee', 'biens', 'brancher', 'bataille', 'tomber', 'branle', 'vendome', 'mathilde', 'habitans', 'garcons', 'manon', 'hilde', 'natation', 'plutot', 'chercher', 'battre', 'gazon', 'priere', 'magistri', 'clerc', 'dynastie', 'connaitre', 'annales', 'diouf', 'moris', 'institutione', 'poete', 'garant', 'diplomatie', 'boucher', 'commencer', 'gentil', 'guardiola', 'infante', 'legende', 'veterum', 'autant', 'guerres', 'pederson', 'justement', 'braque', 'fantaisie', 'fernand', 'barone', 'vertus', 'fattore', 'urbe', 'coucher', 'civilis', 'clemence', 'princesse', 'parente', 'syndicat', 'justes', 'troyer', 'sagesse', 'bartel', 'mouchoir', 'tirer', 'aurore', 'coutinho', 'capello', 'maitresse', 'pires', 'martel', 'maitres', 'alessio', 'fante', 'cavaliere', 'marrant', 'mobilier', 'garcon', 'amoureux', 'venant', 'barde']	0.0851553758015647	0.457139253616333
improbable	['implausible', 'unbelievable', 'incredible', 'unlikely', 'unconvincing', 'supposed', 'marvelous', 'marvellous', 'tall', 'unthinkable', 'impossible', 'unreasonable', 'doubtful', 'unseemly', 'dubious', 'questionable', 'probable', 'likely', 'plausible', 'exorbitant', 'credible', 'absurd', 'bizarre', 'inexplicable', 'ludicrous', 'miraculous', 'fantastical', 'fanciful', 'unplausible', 'inconceivable', 'farfetched', 'incongruous', 'problematical', 'improbabilities', 'impractical', 'ridiculous', 'quixotic', 'unfeasible', 'risible', 'extraordinary', 'remarkable', 'wacky', 'outrageous', 'unpredictable', 'intriguing', 'unconceivable', 'unusual', 'audacious', 'whacky', 'preposterous', 'outlandish', 'laughable', 'perilous', 'dangerous', 'problematic', 'strange', 'peculiar', 'unorthodox', 'fortuitous', 'farcical', 'terrifying', 'calamitous', 'unsurprising', 'stupendous', 'amusing', 'horrifying', 'baffling', 'unimaginable', 'unfathomable', 'incredibility', 'thrilling', 'impracticable', 'weird', 'risky', 'dramatic', 'unconfirmable', 'startling', 'illogical', 'admirable', 'perplexing', 'conceivable', 'spurious', 'exhilarating', 'unimprovable', 'paradoxical', 'frightening', 'foolhardy', 'troubling', 'possible', 'beguiling', 'surprising', 'risibility', 'surreal', 'astonishing', 'spectacular', 'serendipitous', 'unexpected', 'nonsensical', 'unparsimonious', 'zany']	0.0846275532242823	0.46907901763916016
subit	[]	0.0831388411919201	0.4222290515899658
