original_word	synonyms	score	time_elapsed
conditionnement	[]	0.1011351500260559	0.633929967880249
jaloux	['castel']	0.1009689459997189	0.6378140449523926
foulard	"['tie', 'turban', 'faille', 'floreal', 'fouta', 'pochette', 'cravat', 'jabot', 'turque', 'snood', 'tattersall', 'drapeau', 'pucci', 'djellaba', 'broche', 'redingote', 'organdie', 'scarf', 'manteau', 'dentelle', 'caftan', 'handkerchief', 'swansdown', 'raphia', 'griffe', 'turtleneck', 'shantung', 'silk', 'taffetas', 'bazin', 'aigrette', 'kerchief', 'necktie', 'pongee', 'lambrequin', 'lazo', 'cambric', 'samite', 'paisley', 'poplins', 'particolored', 'haik', 'blouson', 'cappello', 'chandelle', 'sacque', 'tricoloured', 'repetto', 'passepartout', 'vandyke', 'rochet', 'astrakhan', 'bandhani', 'palla', 'blazer', 'tussar', 'challis', 'voile', 'georgette', 'foulé', 'marabou', ""drap d'été"", 'gazar', 'muslinet', 'peau de soie', 'poplin', 'mousseline', 'marocain', 'algerine', 'vigogne', 'habotai', 'façonné', 'tabaret', ""lady's cloth"", 'outing flannel', 'gauze', 'tarlatan', 'grenadine', 'marceline', 'scrim', 'gown', 'gossamer', 'charmante', 'chiffon', 'balzarine', 'visite', 'organdy', 'messaline', 'french terry', 'sicilienne', 'mull', 'tulle', 'crepoline', 'madras', 'aertex', 'tiffany', 'pantaloon', 'persian', 'canton crape', 'ferrandine']"	0.1008860486713119	0.685020923614502
simplification	['reduction', 'oversimplification', 'rationalizing', 'rationalisation', 'rationalization', 'streamlining', 'facilitation', 'easier', 'simplistic', 'ease', 'easing', 'simple', 'relaxation', 'rollback', 'simplicity', 'streamlined', 'streamline', 'simpler', 'facilitating', 'simplication', 'complexification', 'minimalization', 'standardization', 'complicatedness', 'unification', 'complexity', 'elaboration', 'systematisation', 'refinement', 'formalization', 'standardisation', 'reductionism', 'harmonization', 'oversimplified', 'integration', 'modularisation', 'efficiency', 'complexifying', 'modernization', 'abstraction', 'modularization', 'reductive', 'calculation', 'optimization', 'oversimplifications', 'complicate', 'oversimplifying', 'systematization', 'optimalization', 'generalization', 'demystification', 'schematization', 'redefinition', 'cumbersomeness', 'modification', 'process', 'simplism', 'improvement', 'unambiguity', 'oversimplify', 'generalisation', 'formalisation', 'complexify', 'differentation', 'implementational', 'complication', 'obfuscation', 'implication', 'enhancement', 'implementation', 'computation', 'uniformization', 'justification', 'modelization', 'diversification', 'descriptional', 'approach', 'incrementality', 'reductiveness', 'delayering', 'complicating', 'minimization', 'systematicity', 'mollification', 'conventionalization', 'consolidation', 'explication', 'systemisation', 'reductivism', 'clarification', 'impreciseness', 'differentiation', 'contradiction', 'straightforward', 'normalization', 'combinatoric', 'normalisation', 'restructuring', 'explanation', 'centralization']	0.1003915092170408	0.6909761428833008
impression	['imprint', 'picture', 'printing', 'effect', 'notion', 'stamp', 'feeling', 'belief', 'depression', 'mental picture', 'handprint', 'print-out', 'printer', 'fingerprint', 'printout', 'image', 'impressionism', 'print', 'mark', 'signal', 'printed', 'printable', 'message', 'hear', 'imitation', 'mimicry', 'press', 'view', 'vision', 'sense', 'appearance', 'sensation', 'impressive', 'semblance', 'apprehension', 'feel', 'perception', 'concept', 'understanding', 'footprint', 'impact', 'inference', 'idea', 'opinion', 'innuendo', 'hunch', 'insinuation', 'sentiment', 'thinking', 'illusion', 'vibe', 'assumption', 'believe', 'believing', 'slur', 'imprinting', 'inspiration', 'suspicion', 'misapprehension', 'dent', 'prints', 'misimpression', 'misconception', 'favourable', 'impressional', 'recollection', 'favorable', 'implication', 'indication', 'influence', 'expectation', 'impressing', 'misleading', 'glimpse', 'misperception', 'positive', 'buzz', 'mistake', 'convincing', 'actual', 'initial', 'good', 'general', 'allusion', 'misgiving', 'mistaken', 'uneasiness', 'remark', 'criticism', 'unfavourable', 'uneasy', 'interpretation', 'misunderstanding', 'experience', 'observation', 'negative', 'disquieting', 'sort', 'decent', 'erroneous']	0.0981819771989713	0.8794522285461426
sentiment	['persuasion', 'view', 'thought', 'opinion', 'feeling', 'feel', 'affection', 'sensation', 'mood', 'passion', 'sense', 'desire', 'emotion', 'confidence', 'nostalgia', 'mind', 'morale', 'complex', 'attitude', 'perception', 'incentive', 'thinking', 'love', 'mentality', 'stance', 'romance', 'notion', 'humour', 'inkling', 'spirit', 'intention', 'belief', 'outlook', 'ethic', 'viewpoint', 'perspective', 'trust', 'gesture', 'idea', 'psychology', 'resentment', 'psychological', 'antipathy', 'impression', 'printing', 'smell', 'felt', 'atmosphere', 'climate', 'expectations', 'sentimentality', 'sympathy', 'bullishness', 'pessimism', 'senti', 'sentimentalism', 'sentimental', 'stamp', 'card', 'image', 'wording', 'echoing', 'jubilance', 'optimism', 'echoed', 'bearishness', 'feelings', 'sentimentalization', 'phrase', 'echo', 'echoes', 'greeting', 'dissent', 'discontent', 'rhetoric', 'jingoism', 'message', 'sentimentalist', 'expression', 'sympathies', 'cynicism', 'embellishment', 'outrage', 'fervor', 'affirmation', 'connotation', 'fervour', 'undercurrent', 'exuberance', 'appreciation', 'commentary', 'reasoning', 'plaintiveness', 'heartfelt', 'observation', 'subtext', 'unease', 'statement', 'assertion', 'patriotic']	0.0979674773316179	0.6892790794372559
notation	['annotation', 'note', 'notational system', 'footnote', 'commentary', 'format', 'rubric', 'symbol', 'formatting', 'inscription', 'sign', 'listing', 'marking', 'marked', 'reference', 'registration', 'indication', 'inclusion', 'identification', 'enrollment', 'recordation', 'mention', 'comment', 'grading', 'rating', 'performance', 'notice', 'appraisal', 'statement', 'entry', 'endorsement', 'mark', 'citation', 'musical', 'novation', 'scoring', 'score', 'marks', 'annotations', 'footnotes', 'notes', 'ratings', 'notated', 'notationally', 'notate', 'neume', 'notehead', 'notates', 'syntax', 'solmization', 'barline', 'noteheads', 'subscripting', 'nomenclature', 'solfege', 'denotational', 'solfa', 'algebraic', 'documentation', 'mathematical', 'shorthand', 'metalogic', 'arithmetic', 'derivation', 'numeration', 'overbar', 'trigraph', 'denotation', 'tablature', 'barlines', 'terminology', 'phrasing', 'neumes', 'parenthesis', 'subscript', 'explanation', 'minterm', 'mensural', 'algebraical', 'numeric', 'handwritten', 'chronogram', 'rubrication', 'mnemonic', 'denotations', 'functorial', 'cyphering', 'transliteration', 'text', 'tetrachord', 'arithmetics', 'equational', 'indicial', 'diagram', 'parentheses', 'logarithmic', 'numerical', 'handwriting', 'abbreviations', 'calculation']	0.0977559326027509	0.681614875793457
taux	['level', 'levels', 'rate', 'rates', 'ratio', 'spleen']	0.0974809808234702	0.5999491214752197
fonctionnaire	['commissionnaire', 'commissaire', 'commissionaire', 'profession', 'functionary', 'salariat', 'militaire', 'civil servant', 'public servant', 'bureaucrat', 'francophone', 'animateur', 'surveillant', 'departement', 'professoriat', 'directrice', 'frenchman', 'restauranteur', 'civil service', 'attendant', 'functionaries', 'douanier', 'accoucheur', 'responsable', 'gendarme', 'francais', 'employe', 'philosophe', 'monsieur', 'fusilier', 'religieux', 'bureau', 'rapporteur', 'colporteur', 'politique', 'capitaine', 'ingenieur', 'traduction', 'sous chef', 'correspondant', 'litterateur', 'marocain', 'bureaux', 'postilion', 'agente', 'empressement', 'parisien', 'motorman', 'federale', 'parmentier', 'personnel', 'analytique', 'franglais', 'combattant', 'gestion', 'sergent', 'consulter', 'arbitrageur', 'administrative', 'gendarmerie', 'french', 'francophil', 'diplomatist', 'caporal', 'chanteur', 'prestation', 'environnement', 'lesueur', 'directoire', 'vocation', 'proletaire', 'traiteur', 'laborant', 'monseigneur', 'systeme international', 'pensionary', 'entreprise', 'examinant', 'croupier', 'anglais', 'francois', 'avocat', 'principale', 'gonfalonier', 'adminstrator', 'salaried', 'mandatary', 'signaler', 'colombier', 'estafette', 'moniteur', 'conseil', 'documenter', 'officeholder', 'compte rendu', 'ministrant', 'superviser', 'vin ordinaire', 'interne', 'recitatif']	0.0974072194067839	0.6084370613098145
habit	['use', 'wont', 'substance abuse', 'drug abuse', 'custom', 'usage', 'routine', 'dependency', 'dependence', 'reliance', 'familiarity', 'reflex', 'tendency', 'trait', 'behavior', 'practice', 'lifestyle', 'forming', 'pattern', 'lot', 'tradition', 'obsession', 'history', 'behaviour', 'fad', 'steward', 'length', 'vice', 'defect', 'mania', 'style', 'way', 'lid', 'cover', 'garb', 'costume', 'ict', 'attire', 'outfit', 'dress', 'port', 'tux', 'coat', 'smoking', 'harbour', 'suit', 'addiction', 'smoke', 'habitual', 'habituating', 'habitually', 'habituated', 'proclivity', 'compulsive', 'predilection', 'sticking', 'ingraining', 'virtue', 'necessity', 'habituation', 'compulsion', 'ingrained', 'mindset', 'habitude', 'refraining', 'accustom', 'preoccupation', 'procrastination', 'making', 'knack', 'eating', 'accustomed', 'quitting', 'aversion', 'laziness', 'lapsing', 'inculcating', 'avoiding', 'thinking', 'forgetting', 'unconsciously', 'exercising', 'cultivating', 'regular', 'indulging', 'daily', 'liking', 'repetition', 'frequent', 'discipline', 'repeating', 'continual', 'thumbsucking', 'committing', 'habituate', 'sort', 'pastime', 'mannerism', 'compulsiveness', 'resorting']	0.0970609852145797	0.7001559734344482
