original_word	synonyms	score	time_elapsed
ameublir	[]	846.5012057180883	0.666935920715332
confire	[]	826.021337837812	0.592149019241333
pommer	['pommier', 'hemopneumothorax', 'tuberoinfundibular', 'scapulothoracic', 'florine', 'capillaire', 'antithymocyte', 'carpo', 'ferner', 'lycopersicon', 'windle', 'methandrostenolone', 'haemothorax', 'bulbospongiosus', 'corticotrophin', 'maitrise', 'bulbospinal', 'cucumis', 'xerophyte', 'cyaniding', 'arkie', 'scorzonera', 'bailly', 'petch', 'ammer', 'hydrogencarbonate', 'dinocyst', 'metalimnion', 'conchiolin', 'bombardon', 'shawm', 'peckhorn', 'piper', 'bassoon', 'tenora', 'flumpet', 'tenoroon', 'pifferaro', 'alto', 'bombard', 'sompoton', 'bombarde', 'strummer', 'stockhorn', 'gemshorn', 'schalmei', 'piffero', 'sopranino', 'bassoonist', 'cimbalom', 'chanter', 'jammer', 'cimbasso', 'basset horn', 'bombardo', 'trompette militaire', 'tom-tommer', 'chalumeau', 'musicker', 'hornpipe', 'sonorophone', 'pianino', 'whamola', 'cymbalo', 'shaker', 'cornemuse', 'player', 'recorder', 'althorn', 'penorcon', 'cimbalon', 'wood', 'mallet', 'instrument', 'reedman', 'cymbalom', 'aulochrome', 'marimba', 'musical instrument', 'krummhorn', 'bazooka', 'xylorimba', 'tuner', 'ripienist', 'manzello', 'tenor', 'bumper', 'toner', 'principal', 'bass clarinet', 'cornet', 'mizmar', 'mock trumpet', 'trombonist', 'tampion', 'panpipes', 'cornettino', 'cromorne', 'tromboon', 'viola pomposa']	812.3680925842945	0.6029689311981201
repiquer	[]	552.1372380522499	0.6006641387939453
stratifier	['separator', 'partitioner', 'precipitator', 'scarifier', 'distinctor', 'distinguisher', 'assigner', 'introducer', 'discriminator', 'signifier', 'attriter', 'scatterer', 'agent', 'attrahent', 'causer', 'ostracizer', 'stratocrat', 'disturber', 'repeller', 'conducer', 'gentrifier', 'limiter', 'disequalizer', 'clarifier', 'characterizer', 'delimitator', 'stigmatizer', 'straw that stirs the drink', 'predictor', 'strayer', 'misclassifier', 'causator', 'preventer', 'bifurcator', 'displacer', 'intermediator', 'significator', 'actor', 'assorter', 'persister', 'individuator', 'symbolizer', 'diffractor', 'facilitator', 'ossifier', 'siphoner', 'sprawler', 'variegator', 'constitutor', 'retarder', 'demarcator', 'sweater', 'irritator', 'delineator', 'confiner', 'inverter', 'scarer', 'aggravator', 'agitant', 'infector', 'destabilizer', 'allayer', 'advancer', 'shelver', 'swayer', 'sequesterer', 'engenderer', 'predisponent', 'purificator', 'marginalizer', 'asphyxiator', 'supplanter', 'prioritizer', 'distributor', 'satisfier', 'prejudicer', 'saturator', 'eliminator', 'circulator', 'complexifier', 'consolidator', 'entrencher', 'incitant', 'summarizer', 'simplificator', 'determiner', 'selector', 'aspirer', 'baffler', 'contaminator', 'counteracter', 'underlayer', 'intimator', 'occludant', 'institutor', 'fructifier', 'obscurer', 'stupefier', 'makestrife', 'troubler']	532.4765648871846	0.590472936630249
pailler	[]	395.94411235200903	0.5776832103729248
replanter	['replanner', 'replant', 'replantation', 'repopulator', 'replanting', 'repurposer', 'reestablisher', 'rebuilder', 'reclaimer', 'reconfigurer', 'reshaper', 'reinvestor', 'reworker', 'reintroducer', 'reimposer', 'repositioner', 'reoccupier', 'renewer', 'recreator', 'reprogrammer', 'reformatter', 'relearner', 'reorganizer', 'resprayer', 'retrainer', 'reimporter', 'regrower', 'repayer', 'remaker', 'resocializer', 'rebrander', 'repurchaser', 'restarter', 'refashioner', 'rescheduler', 'retaker', 'reframer', 'repainter', 'retransplant', 'recolonizer', 'recomposer', 'reimaginer', 'reproposer', 'reapplicant', 'repiner', 'resurrector', 'reconnector', 'reprinter', 'refounder', 'relabeler', 'rekindler', 'revaluer', 'reworder', 'reattempter', 'remapper', 'regrater', 'redefiner', 'reposter', 'resealer', 'recontextualizer', 'refitter', 'remanufacturer', 'rephraser', 'retracer', 'reforger', 'reappointee', 'regenerate', 'redoer', 'reuniter', 'replanning', 'reimplantation', 'reinstater', 'remarrier', 'recopier', 'repeater', 'restructurer', 'reinvigorator', 'retrofitter', 'reposer', 'replayer', 'realigner', 'revegetator', 'reclassifier', 'rebooter', 'reprocessor', 'reappropriator', 'reappearer', 'reorchestrator', 'regresser', 'revegetation', 'reanimator', 'rebeginner', 'reseizer', 'revamper', 'redisseminator', 'rebuyer', 'recaster', 'rerouter', 'reassembler', 'resumer']	342.572335451895	0.5852947235107422
ressuyer	[]	245.75841456331597	0.6067447662353516
biner	['runner', 'carbinier', 'carabinier', 'climber', 'fastener', 'binder', 'linker', 'loriner', 'buttoner', 'nipper', 'grapper', 'lead climber', 'bounder', 'clencher', 'buckler', 'opener', 'crimper', 'belayer', 'tightener', 'chainer', 'clipper', 'blinker', 'bellringer', 'barricader', 'carbineer', 'latcher', 'badgeer', 'bonder', 'bayoneteer', 'unclipper', 'ballister', 'snipper', 'reacher', 'binman', 'bridger', 'carabineer', 'binner', 'ringer', 'harnesser', 'binliner', 'nailer', 'bolter', 'digger', 'bailer', 'joiner', 'trammeler', 'catenator', 'bell-ringer', 'puller', 'bagger', 'unfastener', 'gripper', 'unlatcher', 'extender', 'book binder', 'leatherman', 'bridgebuilder', 'wincher', 'boulderer', 'battener', 'cabler', 'snarler', 'doorknocker', 'unchainer', 'pinpointer', 'bandier', 'tacker', 'biter', 'mounter', 'lingister', 'clincher', 'trimmer', 'bivouacer', 'batoneer', 'ignitor', 'slinger', 'biker', 'bag-carrier', 'bitcoiner', 'knapper', 'barracker', 'gate crasher', 'bundler', 'liner', 'splitter', 'grabbler', 'rebolter', 'hitcher', 'windlasser', 'lorimer', 'beveler', 'braker', 'dobber', 'labeller', 'rappeler', 'briner', 'podger', 'gluer', 'baler', 'hatcheler']	228.51221003255696	0.6490004062652588
hiverner	[]	186.1806170934212	0.6138739585876465
falloir	[]	177.78716581663753	0.6063029766082764
environner	[]	177.4921882957282	0.7364537715911865
destiner	[]	161.2789595571761	0.6913051605224609
jaunir	[]	159.15783038386178	0.6235260963439941
carder	['wool', 'roving', 'corriedale', 'spinner', 'spindler', 'classer', 'rovings', 'dyer', 'wools', 'comber', 'batt', 'noils', 'tussah', 'batts', 'spindle', 'fleece', 'hackling', 'hammermill', 'felter', 'miller', 'agitator', 'charka', 'weaver', 'knotter', 'neps', 'drum', 'fleeces', 'shearer', 'combers', 'flaker', 'longwool', 'rambouillet', 'scutching', 'treadle', 'polwarth', 'yarn', 'bobbin', 'slotter', 'spinning', 'wooley', 'marling', 'merchant', 'doffer', 'yarns', 'alpaca', 'throstle', 'bombyx', 'cotter', 'fiber', 'braider', 'dyeworks', 'hatting', 'raddle', 'noil', 'granulator', 'jobber', 'shedder', 'trapper', 'hosier', 'spinnable', 'tripler', 'quiller', 'schacht', 'wooled', 'charkha', 'spindel', 'currier', 'spinners', 'sheller', 'daisey', 'scrapper', 'imposter', 'powerloom', 'mixter', 'bander', 'cultivator', 'fibers', 'gater', 'woolen', 'disperser', 'mill', 'auger', 'pelletizer', 'brusher', 'teasel', 'cottar', 'mohair', 'spindling', 'carden', 'dehairing', 'fibre', 'hackled', 'gypsy', 'whirler', 'whipper', 'knotters', 'casher', 'stainers', 'pulverizer', 'shearings']	138.63295180494748	0.6853089332580566
marcotter	[]	122.87920728165798	0.6373851299285889
consister	[]	119.50340488381023	0.8523159027099609
recouvrir	[]	101.76500721039965	0.5984048843383789
avoisiner	[]	90.11141867321584	0.5777289867401123
ramifier	[]	87.50489003390797	0.5682189464569092
sarcler	[]	86.18611066282955	0.5895209312438965
empailler	[]	81.91947152110532	0.5866317749023438
exhausser	[]	81.91947152110532	0.5815508365631104
fleurir	[]	75.95891295893534	0.8046700954437256
ouvrer	[]	68.26622626758777	0.5916280746459961
ombrager	[]	66.16572699781584	0.6104738712310791
munir	['equip', 'mushtaq', 'tariq', 'masood', 'fatma', 'husain', 'talal', 'fazal', 'sarwar', 'abdur', 'jamil', 'salih', 'moussa', 'shamil', 'azim', 'saleem', 'marwan', 'baig', 'sabri', 'farooq', 'waheed', 'samir', 'harun', 'razi', 'mostafa', 'aslam', 'firoz', 'zahid', 'sabir', 'amjad', 'mohsin', 'salim', 'saeed', 'yasin', 'rashid', 'barakat', 'haroon', 'aziz', 'shakir', 'abdulla', 'farha', 'samira', 'shahin', 'rayan', 'sattar', 'samia', 'samra', 'farhat', 'wahid', 'adil', 'bakr', 'parvez', 'hameed', 'mateen', 'mansour', 'saleh', 'jehan', 'uddin', 'choudhury', 'sandhu', 'abdul', 'othman', 'faiz', 'abdallah', 'shahzad', 'abdullah', 'akhter', 'asghar', 'fahim', 'mahmoud', 'saadi', 'ghani', 'madani', 'shazia', 'yasir', 'mahmud', 'akhtar', 'misra', 'chaudhry', 'fawaz', 'akram', 'ijaz', 'yasmina', 'siraj', 'bilal', 'haque', 'chavan', 'nusrat', 'sufyan', 'bohra', 'muhamad', 'chowdhury', 'kakar', 'majeed', 'karim', 'jamia', 'madan', 'aleem', 'fouad', 'kazmi']	65.35148851683682	0.6318509578704834
planter	['plantation owner', 'sower', 'grower', 'jar', 'pot', 'seeder', 'plant', 'lac', 'floor', 'planta', 'flowerpot', 'transplanter', 'windowbox', 'garden', 'planting', 'plantation', 'vase', 'gardener', 'cultivator', 'seedling', 'flowerbed', 'birdhouse', 'farmer', 'flowerpots', 'topiary', 'porch', 'hydrangea', 'caladium', 'houseplant', 'flower', 'terrarium', 'birdbath', 'fernery', 'wheelbarrow', 'cloche', 'fertilizer', 'tray', 'container', 'wicker', 'fern', 'transplanters', 'trellis', 'pots', 'plantlet', 'potting', 'patio', 'succulents', 'caladiums', 'greenhouse', 'mossing', 'shrub', 'laborer', 'backet', 'boxwood', 'jardiniere', 'candlestand', 'plants', 'bromeliad', 'windowsill', 'peony', 'slaveholder', 'tree', 'seedlings', 'farm', 'sprayer', 'soil', 'geranium', 'boxwoods', 'mandevilla', 'trug', 'plantings', 'plantocracy', 'birdfeeder', 'hutch', 'sapling', 'tuteur', 'gunnera', 'waterer', 'baluster', 'nursery', 'birdcage', 'hydroponic', 'gardening', 'burlap', 'feeder', 'rockery', 'plantin', 'lavatera', 'unplanted', 'treen', 'hydroponics', 'truckbed', 'watering', 'moss', 'lawn', 'impatiens', 'planted', 'candler', 'plantationer', 'implanter']	57.959034961668735	0.6512658596038818
enter	['get into', 'come in', 'go into', 'participate', 'introduce', 'recruit', 'insert', 'enroll', 'go in', 'get in', 'put down', 'inscribe', 'figure', 'record', 'infix', 'enrol', 'embark', 'move into', 'entrance', 'entry', 'access', 'bring', 'bringing', 'ingress', 'undertake', 'opening', 'get', 'inlet', 'achieve', 'open', 'begin', 'become', 'arrive', 'start', 'inbound', 'coming', 'commence', 'accede', 'put', 'use', 'come', 'incoming', 'make', 'input', 'give', 'proceed', 'install', 'complete', 'visit', 'initiate', 'establish', 'pass', 'provide', 'show', 'admission', 'intervene', 'conclude', 'move', 'take', 'allocate', 'intervention', 'introduction', 'rejoin', 'declare', 'reintroduce', 'include', 'intro', 're-enter', 'reach', 'incorporate', 'commit', 'define', 'hire', 'submit', 'claim', 'inclusion', 'fit', 'capture', 'accession', 'add', 'indicate', 'report', 'inside', 'attend', 'infiltrate', 'integrate', 'specify', 'dwell', 'specifying', 'set', 'intrude', 'identify', 'fill', 'drive', 'affix', 'seize', 'specified', 'interference', 'subtract', 'usher']	54.612981014070215	0.6098449230194092
blanchir	[]	51.94439216906451	0.6041572093963623
larder	['pantry', 'buttery', 'cupboard', 'cupboards', 'kitchen', 'granary', 'icebox', 'scullery', 'freezer', 'fridge', 'storeroom', 'pantries', 'unstocked', 'cellar', 'freezers', 'cookhouse', 'delicatessen', 'granaries', 'foodstuffs', 'stillroom', 'woodpile', 'poulterer', 'storerooms', 'starveling', 'cookshop', 'woodbox', 'forage', 'stocking', 'foraging', 'armoury', 'storehouse', 'provender', 'kitchens', 'refrigerator', 'grocer', 'dainties', 'drygoods', 'apothecary', 'stocked', 'offal', 'cottier', 'marmalade', 'understocked', 'venison', 'chiffonier', 'sundries', 'bannocks', 'woodlanders', 'fridges', 'ragouts', 'vittles', 'worktop', 'mincemeat', 'hennery', 'restocking', 'hovel', 'lodger', 'mouldy', 'closet', 'roundsman', 'hedgerow', 'greengrocery', 'spicery', 'kitchin', 'delectables', 'haversack', 'perishables', 'khazi', 'stash', 'pemmican', 'restock', 'sideboard', 'trayful', 'comestibles', 'food', 'frig', 'unplumbed', 'oatcake', 'napery', 'butcher', 'groceries', 'victuals', 'coolroom', 'lumber room', 'ice cupboard', 'walk-in', 'box room', 'shelfroom', 'ambry', 'lumberroom', 'serving pantry', 'kitchen dresser', 'packing room', 'cabinet', 'wareroom', 'garderobe', 'chillroom', 'wardrobe', 'car fridge', 'butlery']	49.15168291266319	0.624396800994873
amonceler	[]	49.15168291266319	0.7958972454071045
endommager	[]	48.63968621565628	0.6374309062957764
renfoncer	[]	47.78635838731144	0.8456780910491943
saupoudrer	[]	43.78454512334939	0.6458439826965332
